,Energy,Finance,Healthcare,Tech
Energy,-5.268675050709643,3.3804155373792,-4.449281341395947,1.4603089113965217
Finance,2.7186782034428667,-9.046267693727483,0.7860447632360974,-0.5779443377386637
Healthcare,0.9994789414751528,2.1415659748185,-3.5302088257137685,1.0563034597303593
Tech,1.0201014709420821,-2.650208264853903,1.441568486494673,-3.618649444559734
