Node,out_degree_Lead,in_degree_Lag,betweenness,closeness,clustering,pagerank
TMO,13,22,0.02718023071610272,0.6964285714285714,0.5868945868945868,0.044493862834067234
MS,10,23,0.015835264018309668,0.7090909090909091,0.6353276353276354,0.040540033126539844
SLB,11,24,0.016172675548896346,0.7222222222222222,0.6923076923076923,0.040107057841031336
XOM,14,17,0.019381699952431136,0.639344262295082,0.6594202898550725,0.03588030970431356
TSLA,26,21,0.05050433467890249,0.6842105263157895,0.6189516129032258,0.035743949596092305
AZN,17,20,0.02303330529087884,0.6724137931034483,0.6375661375661376,0.03499393961899514
AMD,13,23,0.018177921644425266,0.7090909090909091,0.68,0.034228642978321344
NVO,24,22,0.03590663138864162,0.6964285714285714,0.6494623655913978,0.033061971804604906
NVDA,11,16,0.013076509537832843,0.6290322580645161,0.6245059288537549,0.03251929833296678
MRK,17,19,0.020268241480838774,0.6610169491525424,0.6861538461538461,0.028837307421544604
C,12,18,0.015257364879201036,0.65,0.616600790513834,0.028695222172007043
SHEL,12,13,0.015723826683465173,0.6,0.6210526315789474,0.028587359553954562
BP,16,13,0.019780546805035455,0.6,0.57,0.028398129634280494
JNJ,23,17,0.01670237110906315,0.639344262295082,0.75,0.02686117714249652
JPM,9,9,0.005971575184434027,0.5652173913043478,0.7032967032967034,0.02568087801449575
AAPL,19,18,0.023885393796914137,0.65,0.6481481481481481,0.02537851576873217
BAC,23,15,0.024289873946661385,0.609375,0.6164021164021164,0.024851075947512395
WFC,20,17,0.03432403907877396,0.639344262295082,0.5741935483870968,0.024835040302939527
EQNR,15,14,0.0124820578195075,0.609375,0.7154150197628458,0.024436252344902463
GOOGL,19,12,0.014890141030102307,0.5909090909090909,0.6553846153846153,0.024409286028907892
DHR,6,10,0.003887040132450169,0.5571428571428572,0.6818181818181818,0.022534800759198784
AMZN,14,15,0.013502778590517501,0.6190476190476191,0.6904761904761905,0.022464228776250365
V,16,15,0.024450892022345464,0.6190476190476191,0.6561264822134387,0.02242209856053016
ADBE,12,16,0.01158523218442635,0.6290322580645161,0.6884057971014492,0.02241730734520988
UNH,18,16,0.01628809522049336,0.6290322580645161,0.7133333333333334,0.022071678567998153
TTE,9,11,0.010894152388528628,0.582089552238806,0.6166666666666667,0.021745410695422702
PFE,23,15,0.021414495364641812,0.609375,0.6861538461538461,0.021711465988880473
ABBV,16,13,0.020279241501543158,0.6,0.5907692307692308,0.021279598347093732
CVX,16,14,0.014783634336547892,0.609375,0.6666666666666666,0.021029998949309275
MSFT,11,13,0.00745192300029092,0.6,0.7192982456140351,0.020422709358031588
MA,11,13,0.013862593654951468,0.6,0.6086956521739131,0.020330137800089725
META,14,12,0.01183504367744663,0.5909090909090909,0.6600790513833992,0.019806702710664745
COP,14,12,0.012562741363867726,0.5909090909090909,0.5974025974025974,0.017946025686325598
PBR,11,7,0.006772855216705207,0.52,0.6083333333333333,0.01778449157324897
INTC,18,14,0.014764226711659978,0.609375,0.6996047430830039,0.017710738281991132
PYPL,19,11,0.02133539366019968,0.5735294117647058,0.5615942028985508,0.01754949208558553
GS,15,10,0.010245332060468607,0.5492957746478874,0.6631578947368421,0.014904348812964995
AXP,10,8,0.012027911304416513,0.5342465753424658,0.4083333333333333,0.014189248592082086
VLO,6,6,0.003103872435856241,0.5131578947368421,0.6444444444444445,0.012287457734166073
LLY,4,3,0.0008723732407942933,0.46987951807228917,0.5238095238095238,0.006852749206250241
