Node,degree,betweenness,closeness,clustering,pagerank
TSLA,8,0.07936507936507936,0.24074074074074073,0.3333333333333333,0.0877151593122218
BP,8,0.08888888888888889,0.25375375375375375,0.4666666666666667,0.08537341591032302
NVO,6,0.02142857142857143,0.23182441700960219,0.3,0.0646138523856004
GS,5,0.027777777777777776,0.22899728997289973,0.6666666666666666,0.06218966679928231
META,6,0.06349206349206349,0.18967452300785637,0.16666666666666666,0.06181230703409055
TTE,6,0.049206349206349205,0.2133838383838384,0.4,0.05832232693384974
DHR,6,0.05952380952380952,0.22091503267973858,0.3,0.052753525571289
SHEL,7,0.10317460317460317,0.23769338959212374,0.3,0.04246599385396169
PBR,1,0.0,0.10842293906810037,0.0,0.04193920501792925
MRK,4,0.007936507936507936,0.1388888888888889,0.16666666666666666,0.040471889269534336
NVDA,1,0.0,0.1875,0.0,0.033461132167592965
JNJ,4,0.007936507936507936,0.1125,0.0,0.024234378645336754
AZN,4,0.03015873015873016,0.18409586056644878,0.0,0.023658355790898998
PFE,3,0.020634920634920634,0.15143369175627241,0.0,0.022146648926340568
ADBE,2,0.0,0.1707070707070707,0.0,0.021050738794025387
COP,6,0.0761904761904762,0.07407407407407407,0.2,0.019591052326710726
ABBV,7,0.10277777777777777,0.09722222222222222,0.13333333333333333,0.01932362399962093
AMD,4,0.022222222222222223,0.0625,0.3333333333333333,0.01918203157898469
AMZN,1,0.0,0.1569767441860465,0.0,0.01885937014611117
AXP,2,0.0,0.08888888888888889,1.0,0.018616600651696572
VLO,5,0.00992063492063492,0.1047008547008547,0.3333333333333333,0.018247713293154118
PYPL,1,0.0,0.13410596026490065,0.0,0.017503739628791856
MSFT,3,0.03571428571428571,0.10503472222222224,0.0,0.014659309792044165
TMO,5,0.020634920634920634,0.05555555555555555,0.1,0.0137815503918591
WFC,2,0.0015873015873015873,0.06313131313131314,0.0,0.011978432797868494
AAPL,4,0.04047619047619048,0.0808080808080808,0.0,0.01087629440969316
JPM,1,0.0,0.07258064516129033,0.0,0.01082297169899369
INTC,3,0.01984126984126984,0.027777777777777776,0.3333333333333333,0.010643914129153014
BAC,2,0.05634920634920635,0.0808080808080808,0.0,0.010566679690726841
GOOGL,1,0.0,0.07258064516129033,0.0,0.010382649734468303
LLY,1,0.0,0.0,0.0,0.007536495616835221
CVX,2,0.0,0.0,0.0,0.007536495616835221
EQNR,1,0.0,0.0,0.0,0.007536495616835221
MS,1,0.0,0.0,0.0,0.007536495616835221
SLB,2,0.0,0.0,0.0,0.007536495616835221
V,1,0.0,0.0,0.0,0.007536495616835221
XOM,2,0.0,0.0,0.0,0.007536495616835221
