Node,degree,betweenness,closeness,clustering,pagerank
TTE,35,0.01501062849618202,0.639344262295082,0.7380952380952381,0.03520719270511698
MS,35,0.013222749134457949,0.65,0.8011695906432749,0.03456887522482617
GS,34,0.01841784472147673,0.6190476190476191,0.691699604743083,0.03301521777460955
NVO,32,0.01094736373944198,0.609375,0.7428571428571429,0.0327918880559286
AZN,33,0.007421741418437132,0.5909090909090909,0.8,0.032160211749017655
SHEL,30,0.004503139253722513,0.6,0.8366013071895425,0.03032870215559127
TSLA,32,0.010675397782789735,0.639344262295082,0.8011695906432749,0.029472566815291305
BAC,29,0.03700689545760633,0.6190476190476191,0.5661538461538461,0.029305063140466783
JNJ,31,0.012713442018213965,0.5735294117647058,0.8954248366013072,0.0292911027665781
PFE,31,0.005333119585346471,0.5652173913043478,0.8431372549019608,0.028634131933680692
ABBV,32,0.010366754403304458,0.6290322580645161,0.7748917748917749,0.028407710437523496
MSFT,32,0.01726325133533933,0.582089552238806,0.7272727272727273,0.027330260956689213
WFC,28,0.01099461395944384,0.6,0.7619047619047619,0.026939683638272392
SLB,34,0.018367046007096755,0.6290322580645161,0.7137681159420289,0.0268630652568673
PYPL,33,0.010207615955565028,0.582089552238806,0.7736842105263158,0.02676340313712688
PBR,25,0.0262559834236921,0.5492957746478874,0.5652173913043478,0.026643728957591966
JPM,31,0.031598638489906204,0.609375,0.7445887445887446,0.02636608466290843
MRK,32,0.016569189664482488,0.5909090909090909,0.8,0.026068340462944716
BP,29,0.011926804660295567,0.6,0.719047619047619,0.025074738404173656
AXP,26,0.010194510419992257,0.5652173913043478,0.7631578947368421,0.024684473696367035
META,28,0.0042063492685570645,0.6,0.8496732026143791,0.024664325063851
VLO,29,0.00893587021580674,0.5652173913043478,0.8421052631578947,0.024386663665308093
CVX,34,0.04192413345732906,0.5735294117647058,0.6086956521739131,0.024048100314004187
LLY,31,0.013134529520721888,0.6,0.7229437229437229,0.023936911328668067
AMD,33,0.015725972588909495,0.609375,0.7012987012987013,0.023756740243596003
XOM,28,0.038774428253313724,0.5909090909090909,0.5507246376811594,0.02348209732460842
DHR,31,0.055947990139447006,0.5342465753424658,0.5396825396825397,0.022733741148427213
COP,26,0.02680818212120983,0.5909090909090909,0.5789473684210527,0.022706395438445204
AAPL,29,0.006346874838774632,0.5652173913043478,0.8758169934640523,0.02227702596756085
ADBE,31,0.04478720248916349,0.5416666666666666,0.5158730158730159,0.021673953762664955
GOOGL,30,0.01604947900850279,0.582089552238806,0.780952380952381,0.021597299494011804
MA,23,0.0024797406161886216,0.5652173913043478,0.8627450980392157,0.021096978189148057
AMZN,28,0.009248165493322618,0.5735294117647058,0.7789473684210526,0.02078131748828096
NVDA,25,0.02319116545433075,0.5652173913043478,0.638095238095238,0.019650935029699574
EQNR,31,0.026155275287115216,0.5416666666666666,0.6557971014492754,0.01918190141712657
C,19,0.01622721487115101,0.5909090909090909,0.5514705882352942,0.018722979705053582
UNH,25,0.026236908438139955,0.582089552238806,0.6103896103896104,0.01784686505374094
TMO,27,0.03286923008886423,0.5652173913043478,0.5691699604743083,0.01727219273810358
V,28,0.031618801428340615,0.5735294117647058,0.6340579710144928,0.016891569254080002
INTC,14,0.0059497915817376575,0.52,0.7575757575757576,0.013375565442048685
