Lead,Lag,Freq,AvgWeight,Score
C,ADBE,75.0,-0.7403816553540528,55.528624151553956
ABBV,WFC,62.5,0.6476068435548838,40.47542772218024
SHEL,BP,62.5,0.6379512809545943,39.87195505966214
PFE,GOOGL,58.333333333333336,-0.650534172894836,37.947826752198765
MSFT,AMD,58.333333333333336,-0.6494028452471173,37.88183263941518
ADBE,MSFT,70.83333333333334,0.5257373352247622,37.239727911753995
GS,V,66.66666666666666,-0.556531429919922,37.102095327994796
MA,GS,58.333333333333336,-0.6256144288228394,36.49417501466563
VLO,PYPL,75.0,0.4855949605504868,36.41962204128651
XOM,JPM,54.166666666666664,0.6683943582259152,36.20469440390374
GS,MS,62.5,0.5653456730660731,35.33410456662957
NVO,TTE,58.333333333333336,0.6052991761652214,35.30911860963792
MA,C,70.83333333333334,-0.4977492457133955,35.25723823803219
AMZN,JPM,58.333333333333336,0.5898622210350515,34.408629560378
AXP,DHR,75.0,0.45836206178841427,34.37715463413107
UNH,VLO,50.0,0.6874432301978226,34.37216150989113
AAPL,PYPL,66.66666666666666,-0.5147676675688747,34.31784450459164
XOM,PYPL,54.166666666666664,-0.6308781123615174,34.17256441958219
PYPL,SLB,41.66666666666667,-0.8160583560378731,34.00243150157805
MRK,DHR,54.166666666666664,-0.6239739452804641,33.7985887026918
MS,AXP,54.166666666666664,-0.6197904129399091,33.571980700911745
V,C,70.83333333333334,-0.47192744029533884,33.42819368758651
JPM,AZN,50.0,0.658029839005372,32.9014919502686
UNH,PYPL,58.333333333333336,0.5595800827719679,32.64217149503146
TTE,PYPL,62.5,-0.5221497721729622,32.63436076081014
PYPL,COP,41.66666666666667,-0.7830452069455685,32.626883622732024
MRK,ADBE,58.333333333333336,-0.5571899922605085,32.502749548529664
XOM,UNH,54.166666666666664,-0.5965172670348698,32.311351964388784
MA,MS,45.83333333333333,-0.7046921542016048,32.29839040090688
TSLA,GS,50.0,0.6446325730305834,32.23162865152917
ADBE,EQNR,62.5,0.5073580968439733,31.70988105274833
ADBE,JPM,62.5,-0.5052989906708055,31.581186916925347
JNJ,TMO,45.83333333333333,-0.6889142254327966,31.575235332336508
DHR,META,41.66666666666667,0.7531351722353898,31.38063217647458
MSFT,MS,58.333333333333336,-0.5368392762298011,31.315624446738397
INTC,MSFT,58.333333333333336,-0.5365941990283029,31.301328276651002
MS,GS,66.66666666666666,0.46611472820238803,31.074315213492532
AAPL,MA,58.333333333333336,0.5313276973112051,30.994115676486967
XOM,ABBV,50.0,0.6187284698339984,30.936423491699923
GOOGL,UNH,62.5,-0.4929339875623274,30.808374222645465
LLY,UNH,66.66666666666666,-0.4606001092629072,30.706673950860473
INTC,TSLA,58.333333333333336,-0.5232591268387633,30.523449065594527
LLY,AXP,62.5,-0.4880781259851723,30.504882874073267
MRK,AXP,62.5,-0.48745526152249286,30.465953845155802
SLB,BP,45.83333333333333,-0.6626324822651765,30.370655437153918
C,MA,75.0,-0.4033931505013776,30.254486287603317
C,MSFT,66.66666666666666,-0.4525262170099544,30.168414467330287
EQNR,ABBV,45.83333333333333,-0.6577165773610503,30.145343129048133
PFE,AZN,58.333333333333336,-0.5166354350826016,30.137067046485093
VLO,AZN,45.83333333333333,-0.6556768888824371,30.051857407111697
MS,WFC,54.166666666666664,-0.5497080086837273,29.77585047036856
V,MS,70.83333333333334,-0.41935372649633823,29.704222293490627
MS,ADBE,41.66666666666667,-0.7080944923123365,29.50393717968069
NVO,UNH,70.83333333333334,-0.4157400831435776,29.44825588933675
MS,AAPL,66.66666666666666,-0.43958430681426774,29.30562045428451
AZN,COP,54.166666666666664,0.5388198154016074,29.18607333425373
C,SLB,54.166666666666664,0.5372699068890259,29.1021199564889
SLB,MRK,50.0,0.5816937215565767,29.084686077828835
MS,ABBV,58.333333333333336,-0.49818263888231346,29.060653934801618
WFC,JPM,62.5,0.46369273513567055,28.98079594597941
VLO,ADBE,75.0,-0.38571466131296767,28.928599598472577
WFC,ABBV,58.333333333333336,0.4954216779332277,28.899597879438286
UNH,XOM,45.83333333333333,-0.6289233013702163,28.82565131280158
VLO,UNH,54.166666666666664,0.5318560378565371,28.808868717229092
JNJ,AMZN,62.5,0.4577052033192612,28.606575207453822
AMZN,SHEL,54.166666666666664,0.5213813852709552,28.24149170217674
C,MS,62.5,0.45174373605549395,28.233983503468373
MS,MA,54.166666666666664,-0.5114531061735614,27.703709917734578
MS,C,66.66666666666666,0.41427784179397587,27.618522786265054
ABBV,JNJ,58.333333333333336,-0.4721868224268548,27.544231308233197
INTC,WFC,66.66666666666666,-0.41156977707108255,27.437985138072165
DHR,TMO,66.66666666666666,0.4106956681027857,27.379711206852374
AMD,MSFT,66.66666666666666,-0.4106289723097257,27.37526482064838
AMD,TTE,41.66666666666667,0.6560445040150006,27.335187667291695
AZN,VLO,54.166666666666664,-0.5007858941153273,27.12590259791356
GS,PBR,54.166666666666664,-0.4999941829674119,27.083018244068143
PYPL,PBR,50.0,0.5415681211804916,27.07840605902458
VLO,COP,58.333333333333336,-0.4641236249752957,27.073878123558917
LLY,AAPL,58.333333333333336,0.4640613679924819,27.07024646622811
AAPL,AMD,75.0,-0.3581778160160223,26.86333620120167
VLO,SHEL,62.5,-0.4295935366702454,26.849596041890337
AMZN,ABBV,54.166666666666664,0.49301158919380816,26.704794414664608
COP,NVDA,45.83333333333333,0.5806322318837143,26.612310628003566
V,MA,66.66666666666666,0.3986901478894618,26.57934319263078
EQNR,UNH,45.83333333333333,0.5782259733999099,26.5020237808292
SHEL,MSFT,54.166666666666664,-0.4885918835718943,26.46539369347761
TTE,PFE,50.0,-0.5285519424394219,26.427597121971097
INTC,ADBE,79.16666666666666,-0.3337867198414118,26.424781987445098
MS,CVX,62.5,-0.42262752451200974,26.41422028200061
ADBE,GOOGL,70.83333333333334,-0.3700821736517336,26.214153966997802
TMO,WFC,58.333333333333336,-0.44814159601159653,26.141593100676467
WFC,NVO,58.333333333333336,-0.4474804562165919,26.103026612634526
INTC,META,50.0,-0.521289879848932,26.064493992446604
EQNR,NVO,58.333333333333336,-0.4464607713209352,26.04354499372122
MSFT,C,62.5,-0.4140348893098332,25.877180581864575
COP,GS,50.0,0.5167294404156052,25.83647202078026
MS,PFE,50.0,-0.5151849263061614,25.759246315308072
GS,MA,54.166666666666664,-0.47517239397969147,25.738504673899953
COP,WFC,62.5,0.41148700452348347,25.717937782717716
AZN,UNH,58.333333333333336,-0.4405337796049792,25.697803810290456
TSLA,AAPL,66.66666666666666,-0.3845680518612014,25.63787012408009
V,BAC,70.83333333333334,-0.361422586678821,25.60076655641649
DHR,JPM,58.333333333333336,-0.438092077042788,25.555371160829303
XOM,TMO,45.83333333333333,0.556025938069414,25.484522161514807
DHR,AMZN,75.0,-0.33895330750947755,25.421498063210816
MA,AAPL,58.333333333333336,0.43528887195791943,25.391850864211968
AMZN,PYPL,70.83333333333334,-0.3582248302482064,25.374258809247955
NVDA,PFE,54.166666666666664,-0.46795395897968456,25.34750611139958
C,V,62.5,-0.4051022699582179,25.31889187238862
XOM,PFE,37.5,0.6726152530795371,25.22307199048264
GOOGL,LLY,54.166666666666664,0.4641943794352988,25.143862219412018
SLB,MSFT,41.66666666666667,-0.6016127945723913,25.067199773849637
TSLA,DHR,58.333333333333336,0.4296817778006362,25.06477037170378
MA,NVDA,50.0,-0.5002888379749876,25.01444189874938
PYPL,AZN,58.333333333333336,-0.42774611173566207,24.951856517913622
SHEL,PYPL,41.66666666666667,-0.5980948670138682,24.920619458911176
JPM,INTC,45.83333333333333,-0.5437061768016871,24.919866436743987
GS,C,79.16666666666666,0.3133883503621206,24.809911070334543
MSFT,INTC,75.0,-0.32959268874037007,24.719451655527756
PBR,BP,41.66666666666667,-0.5931388655224277,24.714119396767824
MA,SLB,45.83333333333333,-0.5388264306311181,24.696211403926245
MSFT,CVX,54.166666666666664,0.4557396556561987,24.685898014710762
MA,DHR,45.83333333333333,-0.5381088142232504,24.663320651898974
TTE,SHEL,45.83333333333333,0.5373578446485442,24.628901213058274
TSLA,MRK,62.5,-0.39315455365770935,24.572159603606835
INTC,LLY,50.0,-0.4914193740407185,24.570968702035927
AXP,V,58.333333333333336,-0.42067629302639614,24.539450426539776
ADBE,C,62.5,-0.39252987354356284,24.533117096472676
