Node,degree,betweenness,closeness,clustering,pagerank
PYPL,30,0.004376693417016188,0.65,0.9590643274853801,0.04737952364961252
GS,27,0.005090669847760718,0.639344262295082,0.935672514619883,0.045520876907110375
AZN,28,0.001352228635902067,0.6610169491525424,0.9590643274853801,0.04542171740436017
TSLA,28,0.0017670241513685497,0.639344262295082,0.9852941176470589,0.045113682232340635
MS,31,0.006059195792039337,0.639344262295082,0.9590643274853801,0.04460472262925606
META,31,0.007024164196507444,0.65,0.9210526315789473,0.04349093643690164
AMZN,30,0.006291193860281244,0.6610169491525424,0.8631578947368421,0.03903237143206955
C,36,0.01699280656550427,0.6290322580645161,0.8904761904761904,0.03309800464173202
AMD,31,0.009769653975369528,0.6724137931034483,0.8380952380952381,0.032296117695496826
V,39,0.017573206151931427,0.6724137931034483,0.7933333333333333,0.02814324140964288
ADBE,43,0.015329395675201692,0.7647058823529411,0.7130124777183601,0.02478182158632989
WFC,47,0.028168311846148777,0.7647058823529411,0.6857142857142857,0.024459983823075754
BAC,47,0.02056593492464078,0.7647058823529411,0.6957983193277311,0.024416381701681252
MSFT,55,0.034260990682321864,0.7647058823529411,0.6906906906906907,0.024047110617718956
JPM,50,0.024424046198896047,0.7647058823529411,0.7130124777183601,0.023845758443989222
MA,40,0.013215941266183293,0.6724137931034483,0.7630769230769231,0.02336458052785465
INTC,38,0.016172153521642352,0.7222222222222222,0.7379310344827587,0.02243675979319285
BP,49,0.009827269966754898,0.7090909090909091,0.9021164021164021,0.022183002226931255
EQNR,48,0.009336252934205421,0.7090909090909091,0.9202279202279202,0.020949451861203245
PBR,52,0.011877314225038267,0.6964285714285714,0.8528735632183908,0.020757357875864305
AAPL,49,0.004650700658707113,0.6724137931034483,0.8915343915343915,0.020545088543771562
SLB,47,0.004276229473624637,0.6610169491525424,0.8888888888888888,0.020518541737660535
NVO,45,0.08243033470468616,0.639344262295082,0.689900426742532,0.020478028379575533
JNJ,49,0.004492524564296201,0.6610169491525424,0.8768472906403941,0.020114180240382747
AXP,42,0.013017844177224338,0.6842105263157895,0.7438423645320197,0.019887723584412147
SHEL,51,0.028708675029865058,0.75,0.8423645320197044,0.01977942410710155
CVX,41,0.0011474074293402116,0.639344262295082,0.9802371541501976,0.019621729073069746
VLO,44,0.0026878185155704776,0.639344262295082,0.9046153846153846,0.019440726767424223
COP,40,0.0011318126489361408,0.639344262295082,0.987012987012987,0.019274791908206263
DHR,49,0.021660101465490866,0.6964285714285714,0.7963709677419355,0.019269822235977667
MRK,50,0.005816482694934493,0.6610169491525424,0.874384236453202,0.018738076311777964
ABBV,47,0.0033421689532042703,0.639344262295082,0.8783068783068783,0.018640516357623857
XOM,39,0.0008289591598900832,0.6190476190476191,0.987012987012987,0.018101473600377452
NVDA,39,0.020063158819827932,0.6842105263157895,0.728735632183908,0.017802983326821557
GOOGL,51,0.026789305347649492,0.7358490566037735,0.7294117647058823,0.017156883964640206
LLY,46,0.002907522165259077,0.639344262295082,0.9415384615384615,0.015665257844456888
TMO,47,0.004308341463882883,0.609375,0.8645320197044335,0.015567625716665503
UNH,45,0.002405981759275517,0.6290322580645161,0.9415384615384615,0.015258546044144311
PFE,50,0.019397769714378708,0.6842105263157895,0.8129032258064516,0.014441419727541257
TTE,41,0.0012586347417792246,0.6190476190476191,0.9723320158102767,0.014353757632005047
