Node,out_degree_Lead,in_degree_Lag,betweenness,closeness,clustering,pagerank
XOM,8,15,0.07712848882143575,0.597187758478081,0.3368421052631579,0.056785124581951556
JPM,4,9,0.028674723462172855,0.5366034931252323,0.3787878787878788,0.05289065678466778
TMO,2,13,0.014972929117665958,0.578525641025641,0.27472527472527475,0.05249182074301565
NVDA,4,8,0.031789845706849756,0.5142450142450142,0.2727272727272727,0.05211690438433734
MS,4,12,0.05146027592889941,0.5214879017695918,0.32967032967032966,0.049256311774219436
BP,7,8,0.05751623077027935,0.4936752136752137,0.3238095238095238,0.0384480708986961
DHR,0,7,0.0,0.5064935064935064,0.42857142857142855,0.03449111150281713
SLB,2,10,0.0075376976213328215,0.5214879017695918,0.3787878787878788,0.030297284769888383
SHEL,8,6,0.04293505826906636,0.4628205128205128,0.3181818181818182,0.030254476174134768
GOOGL,11,9,0.06008407009765417,0.48717948717948717,0.3,0.028833136575249666
TSLA,17,9,0.08664355272068888,0.5072005619950825,0.3463203463203463,0.027876897493858858
TTE,4,6,0.00900013906353135,0.46867900032456994,0.3055555555555556,0.02698626634639945
AZN,4,9,0.02318161202270514,0.4936752136752137,0.36363636363636365,0.02634329403238461
C,6,8,0.025277631941812633,0.5142450142450142,0.358974358974359,0.02556143907519656
BAC,14,9,0.07728555069674821,0.4746877054569362,0.33157894736842103,0.025440453488364437
PBR,5,5,0.025493590979420937,0.45153220762976864,0.4,0.02540024402865306
AMD,4,8,0.012528826698867184,0.4746877054569362,0.36363636363636365,0.024853521209789856
EQNR,4,8,0.04566231582931988,0.48085248085248083,0.25757575757575757,0.02423634955659611
MSFT,6,9,0.029605251923065685,0.5003465003465003,0.3956043956043956,0.0234888245500634
AMZN,9,8,0.02412341369831248,0.4628205128205128,0.4065934065934066,0.022627467835621796
NVO,8,5,0.03872012115939242,0.42558208075449455,0.36363636363636365,0.02240138831688529
AAPL,8,5,0.026065507442025664,0.42558208075449455,0.36363636363636365,0.02173463903317267
WFC,6,5,0.018478983746403305,0.4628205128205128,0.2909090909090909,0.021533435596126603
META,10,6,0.04831888197272813,0.44078144078144077,0.3333333333333333,0.01999969587624689
MRK,6,6,0.02165260574593624,0.45153220762976864,0.34545454545454546,0.01957088530186895
ADBE,4,7,0.007543476758264738,0.48085248085248083,0.45454545454545453,0.01864391850376594
GS,8,4,0.02120006062313754,0.42558208075449455,0.43636363636363634,0.01857842557117958
MA,5,7,0.02325531333894854,0.45710667932890153,0.30303030303030304,0.017955014513831916
JNJ,9,6,0.024518201747585944,0.4628205128205128,0.46153846153846156,0.017714459809216685
ABBV,14,5,0.06013837960620401,0.43559577677224737,0.3202614379084967,0.0173161139005257
PFE,12,6,0.02835764968196249,0.43053070960047707,0.40441176470588236,0.017010611649436288
V,6,5,0.018761543343367337,0.42558208075449455,0.25,0.015555175721594042
AXP,7,5,0.032210652782515135,0.43053070960047707,0.25757575757575757,0.015211037969420051
COP,7,5,0.01718439158642653,0.42558208075449455,0.3181818181818182,0.015084175091634365
CVX,8,4,0.01846116658869695,0.4113960113960114,0.42424242424242425,0.013659212155428813
VLO,5,4,0.01462954430405954,0.36299648064353945,0.10714285714285714,0.012583017017755358
INTC,8,4,0.01878010466067146,0.40687517610594537,0.45454545454545453,0.012576011197324034
UNH,6,1,0.0059410253489200855,0.3276605400499206,0.42857142857142855,0.009643279360110977
LLY,4,2,0.004338132627606311,0.3365967365967366,0.26666666666666666,0.007351230921555031
PYPL,6,2,0.0047535778811082455,0.33968478005175257,0.35714285714285715,0.00719861668701492
