Node,out_degree_Lead,in_degree_Lag,betweenness,closeness,clustering,pagerank
MRK,8,22,0.04468406867707245,0.6964285714285714,0.43478260869565216,0.0650446161609929
TMO,8,16,0.058335273155071504,0.6190476190476191,0.3508771929824561,0.060483523980894086
PBR,6,11,0.03282719013101247,0.5652173913043478,0.4230769230769231,0.04642704504584486
PFE,4,13,0.010702005109899847,0.6,0.5619047619047619,0.044020772194755656
XOM,8,19,0.0364905700069722,0.6610169491525424,0.4420289855072464,0.04164153441822011
COP,7,13,0.020837864732933736,0.582089552238806,0.5359477124183006,0.03304042470861453
AZN,5,10,0.02074129047364111,0.5652173913043478,0.4175824175824176,0.03209980181512803
JNJ,7,17,0.03490739388174763,0.609375,0.4308300395256917,0.031020369719940467
WFC,4,11,0.01731205841192346,0.5492957746478874,0.34285714285714286,0.030725884549404836
AMD,15,10,0.0710389956404567,0.5492957746478874,0.4263157894736842,0.029229078182115762
ABBV,13,14,0.05046733040401123,0.5735294117647058,0.48484848484848486,0.027671984711119226
C,6,7,0.012222993944832476,0.5131578947368421,0.4666666666666667,0.027574429051275908
DHR,9,8,0.02866550630272047,0.52,0.5083333333333333,0.026901732327126712
TSLA,6,10,0.022075673217611773,0.5342465753424658,0.4,0.026713534365886298
AMZN,7,6,0.014862355750458807,0.5131578947368421,0.5454545454545454,0.025894318258213193
TTE,5,11,0.014778281427279936,0.527027027027027,0.5142857142857142,0.0251857996642878
SLB,10,12,0.021405193820440982,0.5571428571428572,0.45588235294117646,0.02511196216446205
AXP,8,8,0.0446617406330872,0.527027027027027,0.4095238095238095,0.024966175200817696
ADBE,6,7,0.01783793515494464,0.5342465753424658,0.5128205128205128,0.02443917766024383
GOOGL,9,7,0.029372512155416808,0.4875,0.47619047619047616,0.02346416144831265
BP,12,10,0.03743740299110626,0.5342465753424658,0.48333333333333334,0.023424367297138402
LLY,9,10,0.02232435545405843,0.5571428571428572,0.5098039215686274,0.02250894780823806
NVDA,12,7,0.04001715405293638,0.4936708860759494,0.38333333333333336,0.022048562375072935
CVX,9,7,0.02600427478215318,0.5064935064935064,0.3717948717948718,0.02156486389928638
MS,11,11,0.020329955617419636,0.5342465753424658,0.6029411764705882,0.02078437829555087
SHEL,14,7,0.017127177793407843,0.4936708860759494,0.5497076023391813,0.019116574843058808
UNH,8,7,0.023702300587372428,0.4875,0.4727272727272727,0.018564135389243418
BAC,17,10,0.048222566099044614,0.5064935064935064,0.45454545454545453,0.018218690878812477
AAPL,3,7,0.007013196256170775,0.5,0.4,0.01765179114219804
PYPL,13,5,0.024420622127615855,0.45348837209302323,0.41904761904761906,0.017531691616357162
NVO,14,5,0.03553210116469225,0.45348837209302323,0.4666666666666667,0.01680573427518051
META,4,5,0.010176826560489335,0.4588235294117647,0.42857142857142855,0.01671623224348697
V,18,4,0.023090895635549117,0.43820224719101125,0.5228758169934641,0.01608666531818421
EQNR,7,6,0.010707322554488547,0.46987951807228917,0.5757575757575758,0.015428329100581586
GS,13,8,0.01627301758751185,0.5,0.5555555555555556,0.015133504005000843
MA,15,7,0.019245588036371556,0.4875,0.5157894736842106,0.013622814560763554
VLO,12,5,0.018733184809333888,0.4431818181818182,0.4083333333333333,0.011472868551258278
JPM,5,4,0.0014280750363746314,0.42391304347826086,0.5277777777777778,0.008327294868164862
INTC,8,2,0.0039188591061060695,0.3786407766990291,0.35555555555555557,0.0069470720040929815
MSFT,5,1,0.0022146397041161035,0.35135135135135137,0.4,0.006389155900673078
