Node,out_degree_Lead,in_degree_Lag,betweenness,closeness,clustering,pagerank
MRK,35,38,0.007720433681034932,0.975,0.9392712550607287,0.033700991097326743
SLB,35,36,0.006830067876638976,0.9285714285714286,0.9445234708392604,0.03170505889206002
NVDA,33,36,0.0050109200418454285,0.9285714285714286,0.9534534534534534,0.030969828529626382
AAPL,32,33,0.005262161224955445,0.8666666666666667,0.948948948948949,0.03051300660064169
ABBV,38,35,0.00761123311712741,0.9069767441860465,0.9392712550607287,0.029709612717814853
MS,34,38,0.006165024751400411,0.975,0.9392712550607287,0.02934547017755612
AXP,33,37,0.007020083085841949,0.9512195121951219,0.9392712550607287,0.0292674054309772
COP,39,36,0.008205276589577334,0.9285714285714286,0.9392712550607287,0.02849295121308206
DHR,34,33,0.005531245337378272,0.8666666666666667,0.9402560455192034,0.02782808724251112
GS,32,37,0.006397461636730006,0.9512195121951219,0.9392712550607287,0.02725034110635892
LLY,33,34,0.0054582474470341365,0.8863636363636364,0.9431009957325747,0.027106451397755776
TMO,37,34,0.0070442919452782925,0.8863636363636364,0.9392712550607287,0.02710171326968181
PFE,35,38,0.007164471638128053,0.975,0.9416785206258891,0.027030838382489653
SHEL,34,35,0.006029629996736312,0.9069767441860465,0.9402560455192034,0.026804189225437265
AMD,36,34,0.0060749710023649955,0.8863636363636364,0.9459459459459459,0.026719294694194554
NVO,36,34,0.0058154450740798965,0.8863636363636364,0.9534534534534534,0.026626754493545814
TSLA,32,33,0.004697033048414878,0.8666666666666667,0.9474474474474475,0.0266038530146336
MA,36,33,0.0058792869383443675,0.8666666666666667,0.9431009957325747,0.026551396756399497
UNH,32,31,0.004139083836750499,0.8297872340425532,0.9392712550607287,0.026448345034213432
MSFT,34,37,0.006441826944486019,0.9512195121951219,0.9388335704125178,0.02634630010732985
XOM,26,23,0.0029794166333789894,0.7090909090909091,0.9394957983193277,0.025876202806484724
GOOGL,34,33,0.005529930015136327,0.8666666666666667,0.9474474474474475,0.02537956667109876
EQNR,26,33,0.004268136206757653,0.8666666666666667,0.9411764705882353,0.025057212646514657
CVX,29,27,0.0038489383809428047,0.7647058823529411,0.9444444444444444,0.02505300905502632
JPM,30,32,0.004286165260343302,0.8478260869565217,0.9474474474474475,0.024199912101237602
C,25,28,0.0036182165331345604,0.78,0.9450757575757576,0.023931184520411663
BP,25,31,0.0034545830710141553,0.8297872340425532,0.9607843137254902,0.023085199939005454
BAC,28,30,0.0030366562886469236,0.8125,0.9715909090909091,0.023009154241338613
INTC,31,34,0.0046272037359274204,0.8863636363636364,0.953968253968254,0.022831929612785618
WFC,24,31,0.0029733537293580975,0.8297872340425532,0.9428571428571428,0.022804775389537013
META,30,32,0.004738610955738537,0.8478260869565217,0.9429429429429429,0.022785649983456023
V,33,28,0.003964691722453969,0.78,0.9402560455192034,0.021180690599416394
VLO,30,29,0.0045467311658539825,0.7959183673469388,0.9445234708392604,0.01995576024211229
PBR,31,25,0.004135816749670311,0.7358490566037735,0.93993993993994,0.019870651352780322
JNJ,33,28,0.0037568602449356294,0.78,0.9523809523809523,0.01931364144786069
PYPL,34,30,0.004449049569905911,0.8125,0.9507936507936507,0.01897842097748303
AMZN,24,21,0.002382696002236548,0.6842105263157895,0.9495967741935484,0.018641923562034483
ADBE,31,26,0.003620252057345043,0.75,0.9394957983193277,0.018101817633322533
AZN,28,22,0.0022474914055274505,0.6964285714285714,0.9572192513368984,0.017568219027100568
TTE,23,20,0.0020923356918227725,0.6724137931034483,0.9556451612903226,0.01625318880735684
