Node,out_degree_Lead,in_degree_Lag,betweenness,closeness,clustering,pagerank
AZN,4,15,0.020099574102610537,0.609375,0.4852941176470588,0.060148972525356004
PYPL,18,6,0.08113345585436305,0.4642857142857143,0.38421052631578945,0.04913317489642874
NVO,7,14,0.06961890709807357,0.609375,0.375,0.045524877674677215
SHEL,7,8,0.029490066680563167,0.5131578947368421,0.38461538461538464,0.045431837104786786
BP,1,10,0.0189865525576668,0.527027027027027,0.3090909090909091,0.04343445977223862
AMZN,7,13,0.05532528946405072,0.582089552238806,0.43859649122807015,0.04163060643224185
SLB,8,15,0.05365576651134929,0.5909090909090909,0.2857142857142857,0.040293764232240924
XOM,5,9,0.021040207945589688,0.52,0.4909090909090909,0.03934630973290651
BAC,7,12,0.047137778576357314,0.5342465753424658,0.39705882352941174,0.03500577257126889
MRK,10,11,0.03689456454918892,0.5492957746478874,0.4117647058823529,0.03448832864952778
JPM,4,9,0.010472548735919712,0.5342465753424658,0.509090909090909,0.03440324523809711
TMO,6,12,0.030602398633242447,0.5492957746478874,0.3235294117647059,0.03316824203130206
META,6,8,0.026873555156207856,0.527027027027027,0.43636363636363634,0.032168967025560796
PBR,5,6,0.02903238398870191,0.4875,0.24444444444444444,0.03152396650978371
VLO,8,7,0.04630552494823055,0.5,0.3333333333333333,0.027630228938542733
UNH,11,8,0.04299142720876292,0.5,0.4380952380952381,0.024311758499789317
MSFT,4,7,0.03545173802759106,0.4875,0.4222222222222222,0.024082079973568014
AAPL,9,12,0.04363866895344165,0.5735294117647058,0.43137254901960786,0.02269791768044564
AMD,7,8,0.026637619794715475,0.4936708860759494,0.3181818181818182,0.022174891380545122
AXP,6,4,0.022604651713164385,0.43333333333333335,0.25,0.021698774813579968
WFC,12,7,0.028663760318884974,0.4431818181818182,0.38235294117647056,0.02061507015490225
C,5,6,0.019673572978228845,0.45348837209302323,0.35555555555555557,0.019688716210635376
INTC,17,6,0.08156148569278902,0.4642857142857143,0.3523809523809524,0.01950712386018666
ABBV,11,7,0.04547468494911031,0.43333333333333335,0.34065934065934067,0.018590659912162705
EQNR,4,9,0.019569579802153292,0.5131578947368421,0.28205128205128205,0.01822202380874845
MS,8,10,0.02848162357644565,0.47560975609756095,0.3602941176470588,0.017939843822632116
LLY,4,8,0.030445793394600133,0.48148148148148145,0.36363636363636365,0.01702062883061878
DHR,4,5,0.004527269693474679,0.4431818181818182,0.3611111111111111,0.016239040392423063
CVX,3,5,0.01785514458511475,0.4482758620689655,0.39285714285714285,0.015732379275640807
GOOGL,8,4,0.020923562626075153,0.375,0.5111111111111111,0.015128240095396667
ADBE,7,5,0.016761295907098163,0.4148936170212766,0.4,0.013490726630210736
V,9,3,0.009903491831675805,0.38235294117647056,0.43636363636363634,0.011961304087452992
MA,11,3,0.01694209609779978,0.38235294117647056,0.3717948717948718,0.011876009389286998
TSLA,7,5,0.020959040702808015,0.41935483870967744,0.36363636363636365,0.011866265844889288
NVDA,9,4,0.01925018081724647,0.4148936170212766,0.36363636363636365,0.011508915850021423
JNJ,9,5,0.02072065586064233,0.4431818181818182,0.5384615384615384,0.01108746156280405
PFE,12,3,0.02353038261625519,0.3644859813084112,0.48717948717948717,0.010839461736483272
TTE,3,2,0.005636205041540462,0.3786407766990291,0.3,0.010779898298628784
COP,8,3,0.01249097114805987,0.40625,0.36363636363636365,0.009886081635670875
GS,5,2,0.006342324829166934,0.37142857142857144,0.4,0.009721972918316921
