Node,out_degree_Lead,in_degree_Lag,betweenness,closeness,clustering,pagerank
TTE,4,13,0.015872288417834977,0.5735294117647058,0.41904761904761906,0.04961894632080653
TMO,7,13,0.030144064161875418,0.5652173913043478,0.4083333333333333,0.0449902436238238
BP,7,15,0.04935517163021206,0.609375,0.391812865497076,0.04355409197734967
JPM,10,12,0.03641777370046006,0.5571428571428572,0.36666666666666664,0.0410361301016551
LLY,9,14,0.03165965940929591,0.5735294117647058,0.4263157894736842,0.04081199670275876
MSFT,10,12,0.07385978000856543,0.5735294117647058,0.35947712418300654,0.03983995504441579
C,9,8,0.020524851968350417,0.5064935064935064,0.28205128205128205,0.035684343310135584
TSLA,10,9,0.03626328502418988,0.5131578947368421,0.35833333333333334,0.034773518278397954
NVDA,13,13,0.07129006503865493,0.5652173913043478,0.3904761904761905,0.03353610944721292
JNJ,5,5,0.021673898900619548,0.4642857142857143,0.4722222222222222,0.03350909489253676
SLB,8,7,0.0422548963764134,0.4875,0.3904761904761905,0.030599927120500147
MRK,14,10,0.05137001283405189,0.5342465753424658,0.4421052631578947,0.0303193361471976
V,9,10,0.03421887724885933,0.5492957746478874,0.3333333333333333,0.02969450595495246
MS,8,8,0.01956661065377426,0.4936708860759494,0.38461538461538464,0.028835820558860636
MA,15,9,0.06116311662463001,0.52,0.39473684210526316,0.02830448482122677
ABBV,5,10,0.017008976238147344,0.5131578947368421,0.5,0.027791506855984513
NVO,9,13,0.026604417394282775,0.5492957746478874,0.42483660130718953,0.027541795691180686
CVX,2,4,0.02769923789660632,0.4642857142857143,0.4666666666666667,0.025329860408571984
PBR,3,10,0.006610805763877924,0.527027027027027,0.36363636363636365,0.02441444602796088
AXP,9,8,0.03586891389837893,0.5131578947368421,0.38461538461538464,0.024192621778214508
XOM,1,6,0.0019025621252341898,0.4875,0.5238095238095238,0.023626520285033335
AAPL,6,9,0.021956285873681612,0.5064935064935064,0.3787878787878788,0.02290897126308676
DHR,12,7,0.04057320187429486,0.47560975609756095,0.3904761904761905,0.022857248869298925
AMZN,12,8,0.04873473408878142,0.527027027027027,0.4175824175824176,0.02232943004567598
COP,9,6,0.020398430292154986,0.5064935064935064,0.31868131868131866,0.022122820419967902
WFC,7,9,0.019547229883807513,0.5,0.3956043956043956,0.020985819604605726
GS,11,9,0.04080247965101502,0.5342465753424658,0.35294117647058826,0.02058812150576398
GOOGL,6,9,0.02110241222529862,0.527027027027027,0.41904761904761906,0.02000586417408806
AZN,5,5,0.020677855470365596,0.4431818181818182,0.2857142857142857,0.019109160389261942
SHEL,5,7,0.012560801668718966,0.4936708860759494,0.4,0.01830093797236309
AMD,12,7,0.02929061072972217,0.4875,0.4083333333333333,0.01783077510471047
PYPL,11,4,0.027313381504542305,0.42857142857142855,0.3717948717948718,0.014372961111648947
VLO,1,4,0.0020963198594777543,0.4482758620689655,0.6,0.013951853944017167
INTC,11,6,0.024796631805741116,0.4875,0.42857142857142855,0.013777627849208732
ADBE,13,5,0.021603771648425137,0.47560975609756095,0.3333333333333333,0.012035558284093875
EQNR,7,4,0.007040534615552477,0.4482758620689655,0.5833333333333334,0.011859001761718078
PFE,5,2,0.0015339998133520399,0.3611111111111111,0.6190476190476191,0.008119500200713472
META,4,3,0.003197428216778062,0.4105263157894737,0.3333333333333333,0.00809482005020477
BAC,10,3,0.014967371236721073,0.3939393939393939,0.3484848484848485,0.006859659274807285
UNH,4,2,0.002245135468819679,0.3391304347826087,0.4,0.005884612825988346
