Lead,Lag,Freq,AvgWeight,Score
BP,COP,97.16981132075472,0.5937577506213584,57.69532859811313
XOM,CVX,96.22641509433963,0.6412873606305168,61.708783758785586
BP,SHEL,96.22641509433963,0.6152962320597899,59.20775063216846
CVX,COP,96.22641509433963,0.601548654955173,57.88487057115815
COP,CVX,96.22641509433963,0.6007298828078687,57.80608306264397
CVX,XOM,95.28301886792453,0.6639741920611553,63.265465469978
BP,XOM,95.28301886792453,0.6137283776424766,58.4778925866888
XOM,COP,95.28301886792453,0.6084171524584185,57.971823017264406
COP,BP,94.33962264150944,0.6110819676384223,57.64924223003984
BP,EQNR,93.39622641509435,0.5927493266334889,55.36055031765604
CVX,SHEL,93.39622641509435,0.5796311699618694,54.13536398700479
BP,CVX,93.39622641509435,0.5660108161340305,52.86327433704625
COP,XOM,92.45283018867924,0.6263673552016515,57.909434726190426
XOM,BP,92.45283018867924,0.6081179203197401,56.222222822013705
CVX,BP,92.45283018867924,0.6081083236218386,56.22133558013225
COP,SHEL,92.45283018867924,0.6044391302734342,55.88210827056278
XOM,SHEL,91.50943396226415,0.5915516179464607,54.13255371774216
COP,EQNR,91.50943396226415,0.5682453482228736,51.99981016756485
CVX,VLO,91.50943396226415,0.5560897861050419,50.88746155866893
CVX,EQNR,90.56603773584906,0.5655318907108444,51.217982554944406
EQNR,SHEL,90.56603773584906,0.560096664870516,50.72573568638636
WFC,JPM,90.56603773584906,0.5434257641901665,49.21591826627924
BP,TTE,89.62264150943396,0.6079137502856844,54.48283611050945
SHEL,COP,89.62264150943396,0.5608625306518306,50.26598152068293
MA,V,89.62264150943396,0.5488803554754141,49.19210733034372
GS,C,89.62264150943396,0.5477235610404249,49.08843235739657
SHEL,BP,88.67924528301887,0.5992631267310572,53.14220180445224
XOM,TTE,88.67924528301887,0.5972074000358452,52.95990151261269
EQNR,BP,88.67924528301887,0.5853911358986704,51.91204412686323
CVX,TTE,88.67924528301887,0.5769782929665588,51.16599956495899
XOM,VLO,88.67924528301887,0.5712263310259706,50.655919921170984
DHR,TMO,88.67924528301887,0.5601843810477788,49.67672813065209
COP,TTE,88.67924528301887,0.5519067380578601,48.94267299758382
SHEL,XOM,88.67924528301887,0.5489994061590715,48.684852999012
VLO,XOM,88.67924528301887,0.5424594360064091,48.104893381700435
VLO,COP,88.67924528301887,0.5337627843221755,47.333680873853304
SHEL,EQNR,87.73584905660378,0.5764518217587601,50.575490022230845
V,MA,87.73584905660378,0.5598588444312707,49.11969106802658
EQNR,COP,87.73584905660378,0.5435421329651727,47.68813053373686
SHEL,TTE,86.79245283018868,0.576085240390979,49.99985105280195
EQNR,PBR,86.79245283018868,0.5382422800852938,46.71536770551607
MS,GS,86.79245283018868,0.5317170712076941,46.14902882179986
XOM,EQNR,85.84905660377359,0.5918927059984158,50.81343042061872
VLO,BP,85.84905660377359,0.5181173950052342,44.479889571204076
TSLA,META,85.84905660377359,0.5155717964721154,44.26135233864387
VLO,CVX,84.90566037735849,0.5563135032852828,47.23416537327873
TMO,DHR,84.90566037735849,0.5510729536370196,46.789213044652605
MSFT,ADBE,84.90566037735849,0.5262190339060197,44.678974576926194
VLO,TTE,84.90566037735849,0.5202430937831556,44.17158343441887
BP,VLO,83.9622641509434,0.557888218953044,46.84155800643482
JPM,WFC,83.9622641509434,0.5489407961997872,46.09031213375572
SHEL,CVX,83.9622641509434,0.5444503078776531,45.713280567085974
C,GS,83.9622641509434,0.5427826351728595,45.57325899092877
EQNR,CVX,83.9622641509434,0.5394494647351145,45.29339845417471
JPM,C,83.9622641509434,0.526771174658772,44.22890051380256
C,MS,83.9622641509434,0.5118246427873006,42.973955856669576
MS,BAC,83.9622641509434,0.5029896478467124,42.232149677695666
EQNR,TTE,83.01886792452831,0.5732684291434402,47.59209600436108
COP,VLO,83.01886792452831,0.5701948173104817,47.33692822954943
PBR,TTE,83.01886792452831,0.526420085788666,43.70279957490812
PBR,SHEL,83.01886792452831,0.5234846765608143,43.459105223916666
GOOGL,META,83.01886792452831,0.510982501778474,42.42118882689219
EQNR,XOM,82.0754716981132,0.5802267511825111,47.62238429516836
PBR,BP,82.0754716981132,0.5565508011760386,45.679169530486185
META,GOOGL,82.0754716981132,0.5347116740267884,43.88671286823641
SHEL,PBR,82.0754716981132,0.5321651262024553,43.67770375435246
COP,PBR,82.0754716981132,0.5297583484900271,43.48016633833241
JPM,GS,82.0754716981132,0.5122374569617182,42.04213090157498
BAC,MS,82.0754716981132,0.50158226788409,41.167601231996066
GS,MS,81.13207547169812,0.5614642175490554,45.55275727284789
GS,JPM,81.13207547169812,0.5596333538763159,45.4042155031728
BAC,WFC,81.13207547169812,0.535694611843244,43.46201567784809
TTE,EQNR,81.13207547169812,0.5210577829827926,42.274499374075624
AXP,JPM,81.13207547169812,0.506092269694557,41.0603162205018
AMZN,META,81.13207547169812,0.5046601427359452,40.94412478801065
WFC,BAC,80.18867924528303,0.5544501300792568,44.460623638430974
AMD,NVDA,80.18867924528303,0.522489182849476,41.89771749264666
WFC,GS,80.18867924528303,0.49999557896048585,40.093985105321984
MS,WFC,80.18867924528303,0.47038128444839505,37.719253941616586
BAC,JPM,79.24528301886792,0.5671576763613543,44.944570579579015
BAC,C,79.24528301886792,0.557373113143979,44.16919009820211
TTE,SHEL,79.24528301886792,0.5552573786752946,44.00152812143843
VLO,EQNR,79.24528301886792,0.5365534315121445,42.51932853492466
C,BAC,79.24528301886792,0.5301526509841014,42.01209687043822
EQNR,VLO,79.24528301886792,0.5264527909940282,41.71890041839469
PBR,COP,79.24528301886792,0.5249254395900147,41.59786502411437
MS,C,79.24528301886792,0.5156669691572657,40.864174914349356
META,NVDA,79.24528301886792,0.5134737244448818,40.69037061638686
PFE,LLY,79.24528301886792,0.5101623700629865,40.42796140121779
WFC,C,79.24528301886792,0.5091681464706964,40.349173871262735
AMZN,GOOGL,79.24528301886792,0.4899195813083373,38.823815877264465
GS,WFC,79.24528301886792,0.4895553324651593,38.79495087459753
ABBV,JNJ,79.24528301886792,0.4814077839355957,38.149296085462296
BP,PBR,78.30188679245283,0.5737912033048298,44.92893384368007
XOM,PBR,78.30188679245283,0.5678063576948784,44.46030914025935
PBR,EQNR,78.30188679245283,0.5550280556289537,43.45974397849355
PBR,XOM,78.30188679245283,0.5473875285130926,42.861476289232726
INTC,AMD,78.30188679245283,0.536624682721811,42.01872515651916
AMD,INTC,78.30188679245283,0.5309727910986671,41.57617137848054
VLO,SHEL,78.30188679245283,0.528319518726515,41.368415145566736
JPM,BAC,78.30188679245283,0.522192519900582,40.88865957712105
SHEL,VLO,78.30188679245283,0.5183059472282759,40.58433360372349
MRK,PFE,78.30188679245283,0.5140665678072462,40.25238219622777
ABBV,PFE,78.30188679245283,0.5013366622232747,39.25560657031302
AXP,MS,78.30188679245283,0.49709428035198927,38.92342006529727
JNJ,AZN,78.30188679245283,0.48508340229841546,37.98294565166838
AXP,GS,78.30188679245283,0.4789572570936402,37.50325692336994
TTE,BP,77.35849056603774,0.5749744946093818,44.47915901695218
TTE,XOM,77.35849056603774,0.568716010902941,43.99501216418978
BAC,GS,77.35849056603774,0.5291892353262645,40.93728046863556
PBR,VLO,77.35849056603774,0.524023959515442,40.53770252855306
TTE,CVX,77.35849056603774,0.5162725631943359,39.93806620937316
VLO,PBR,77.35849056603774,0.503525032131365,38.95193644789805
ADBE,PYPL,77.35849056603774,0.498254140067117,38.54418819387132
BAC,AXP,77.35849056603774,0.49468361939528904,38.26797810416387
NVDA,TSLA,77.35849056603774,0.48196868727615094,37.28437014777772
AXP,WFC,77.35849056603774,0.4709622216976141,36.432926584155055
CVX,PBR,76.41509433962264,0.5671544973190145,43.339164417773745
C,JPM,76.41509433962264,0.5440610226622368,41.574474373246396
META,TSLA,76.41509433962264,0.5409649258801091,41.33788584555551
TTE,COP,76.41509433962264,0.529625734566166,40.47140047156552
COP,SLB,76.41509433962264,0.5290554835038631,40.42782468284237
ABBV,LLY,76.41509433962264,0.5241525851944412,40.05316924599032
TSLA,MSFT,76.41509433962264,0.5102304587001244,38.98930863651894
AXP,BAC,76.41509433962264,0.5053465442335354,38.61610385180789
MS,AXP,76.41509433962264,0.4898342183245339,37.43072800404457
AZN,LLY,76.41509433962264,0.48711774421640136,37.22314837880048
C,WFC,76.41509433962264,0.48511789041945397,37.070329362241296
GS,BAC,75.47169811320755,0.535238393660687,40.39535046495752
TTE,PBR,75.47169811320755,0.526699459533343,39.75090260629004
MRK,LLY,75.47169811320755,0.5175221052918101,39.058272097495106
MSFT,TSLA,75.47169811320755,0.5056149018450705,38.15961523359023
JPM,MS,75.47169811320755,0.502619064027628,37.93351426623608
PFE,AZN,75.47169811320755,0.48959233344427167,36.95036478824692
JPM,AXP,75.47169811320755,0.4796349105995244,36.1988611773226
NVO,TMO,75.47169811320755,0.4518058284023779,34.09855308697192
BP,SLB,74.52830188679245,0.5346215244178077,39.84443436698756
MS,JPM,74.52830188679245,0.5168654928033029,38.5211074825103
NVO,GS,74.52830188679245,0.5134611842834145,38.26739014942429
