Lead,Lag,Freq,AvgWeight,Score
NVO,AZN,100.0,-0.7143222788362585,71.43222788362586
AZN,MA,77.77777777777779,0.8571961213073287,66.67080943501446
META,LLY,88.88888888888889,-0.7470210572458331,66.40187175518517
GS,AXP,77.77777777777779,-0.8119975226213914,63.155362870552665
LLY,GOOGL,88.88888888888889,0.7069275123090011,62.838001094133425
PFE,COP,88.88888888888889,0.7051447443003696,62.679532826699514
PBR,SLB,88.88888888888889,-0.6914178554668813,61.45936493038945
UNH,MRK,100.0,-0.6120690108363783,61.20690108363783
TMO,AMZN,77.77777777777779,0.7802161567617658,60.68347885924846
PYPL,AMD,88.88888888888889,0.6780844108837617,60.274169856334375
AMD,GOOGL,100.0,-0.5998525969269434,59.985259692694335
JNJ,PFE,66.66666666666666,0.8690000250518598,57.93333500345731
AXP,CVX,77.77777777777779,-0.7447614186149102,57.92588811449302
GS,SHEL,88.88888888888889,-0.6239297635627274,55.46042342779799
TMO,TSLA,88.88888888888889,-0.6145374232062679,54.62554872944604
SHEL,GS,88.88888888888889,-0.6131577639574876,54.50291235177667
GOOGL,SHEL,77.77777777777779,-0.6978589016440443,54.277914572314565
AXP,BAC,77.77777777777779,0.6909548151988633,53.7409300710227
PBR,ABBV,88.88888888888889,0.6035132181025804,53.64561938689604
AMZN,GOOGL,88.88888888888889,0.6010852198669094,53.42979732150306
V,PFE,66.66666666666666,-0.7934122484020345,52.894149893468956
TMO,AMD,88.88888888888889,0.5905368860923718,52.49216765265527
AMD,TSLA,100.0,-0.5099141774012534,50.99141774012534
EQNR,AXP,77.77777777777779,-0.6345194907414895,49.3515159465603
BAC,AXP,66.66666666666666,0.7376460750644055,49.17640500429369
VLO,AMD,100.0,-0.48613759623801617,48.61375962380162
PYPL,BAC,55.55555555555556,-0.8601999948138717,47.78888860077065
GOOGL,V,55.55555555555556,-0.8555477634047259,47.530431300262556
SHEL,AMD,88.88888888888889,0.5329916625917253,47.37703667482002
AXP,VLO,55.55555555555556,0.8484116920672318,47.13398289262399
JNJ,AMZN,77.77777777777779,-0.6020500469998588,46.826114766655685
EQNR,AAPL,55.55555555555556,-0.8403193262574158,46.68440701430088
TTE,JPM,55.55555555555556,-0.8312529413499978,46.18071896388877
COP,ADBE,55.55555555555556,0.8242078528511454,45.78932515839697
AMD,TMO,100.0,0.45695888414391006,45.69588841439101
JNJ,TTE,88.88888888888889,0.5131347993971476,45.611982168635336
MSFT,JNJ,55.55555555555556,0.8198246235703858,45.545812420576986
UNH,TSLA,66.66666666666666,0.6824726435693114,45.498176237954084
COP,PBR,77.77777777777779,-0.5832099417776038,45.36077324936919
ABBV,SLB,77.77777777777779,-0.5815963230197865,45.23526956820562
EQNR,TTE,55.55555555555556,-0.8138913474633881,45.21618597018823
JPM,AMD,55.55555555555556,-0.8085373415897958,44.91874119943311
AMD,DHR,77.77777777777779,0.5772528937541466,44.89744729198918
XOM,PFE,66.66666666666666,-0.6734586034780219,44.89724023186812
MA,MRK,66.66666666666666,0.644992716563956,42.99951443759706
PYPL,WFC,55.55555555555556,-0.7739215910397621,42.99564394665345
XOM,AMZN,66.66666666666666,-0.6382785384265809,42.55190256177205
UNH,JNJ,66.66666666666666,-0.6325324252621999,42.16882835081332
AAPL,NVO,55.55555555555556,-0.7583581964266327,42.13101091259071
UNH,AZN,55.55555555555556,-0.75737229800099,42.07623877783278
AMD,WFC,55.55555555555556,-0.7481987120612847,41.56659511451582
PYPL,MRK,55.55555555555556,-0.7454623245447639,41.41457358582022
LLY,UNH,88.88888888888889,-0.45679226945491425,40.60375728488126
PBR,PFE,55.55555555555556,0.7289982335560321,40.49990186422401
SLB,SHEL,88.88888888888889,-0.4544911871804838,40.39921663826522
DHR,TSLA,55.55555555555556,-0.7257341127954148,40.31856182196749
DHR,SHEL,55.55555555555556,0.7226754346749209,40.14863525971783
AMD,SHEL,77.77777777777779,0.5156890920260595,40.109151602026856
NVO,BP,55.55555555555556,-0.7218872777107632,40.10484876170907
ADBE,MSFT,55.55555555555556,0.7197720794672902,39.98733774818279
AAPL,MRK,55.55555555555556,0.7171207701343099,39.84004278523944
TMO,SHEL,55.55555555555556,0.7095258500033688,39.41810277796493
INTC,PYPL,55.55555555555556,0.7082684183888308,39.34824546604616
EQNR,AMD,55.55555555555556,0.7078202538659556,39.32334743699754
AZN,META,55.55555555555556,0.7073981723828591,39.29989846571439
GS,BP,55.55555555555556,-0.706396338042465,39.24424100235917
C,INTC,77.77777777777779,-0.5034102553708713,39.15413097328999
PFE,TMO,44.44444444444444,-0.8767364619396921,38.966064975097424
V,SHEL,88.88888888888889,0.42880726754089044,38.11620155919026
JPM,PBR,44.44444444444444,0.85731796751056,38.10302077824711
AAPL,AMZN,44.44444444444444,-0.8517207894898654,37.854257310660685
NVO,SHEL,77.77777777777779,-0.4860989138591413,37.807693300155435
CVX,TMO,44.44444444444444,0.8506366295548722,37.80607242466098
UNH,BP,44.44444444444444,-0.8498499325361644,37.771108112718416
MS,SHEL,44.44444444444444,-0.8496024417572681,37.760108522545245
MS,MSFT,55.55555555555556,-0.6788316667964036,37.71287037757798
SLB,JPM,77.77777777777779,-0.4843508011935384,37.67172898171966
NVO,PBR,44.44444444444444,-0.846327394301077,37.61455085782564
ABBV,META,44.44444444444444,0.8451435765486613,37.56193673549606
DHR,SLB,44.44444444444444,0.843648329759446,37.49548132264204
BP,EQNR,44.44444444444444,-0.8435480607244219,37.49102492108542
LLY,PBR,44.44444444444444,0.8359247513209667,37.15221116982074
JPM,BAC,44.44444444444444,0.8356171211297971,37.13853871687987
BP,XOM,66.66666666666666,-0.5552037320124831,37.01358213416553
BP,GOOGL,44.44444444444444,0.832804994057657,37.01355529145142
AMD,CVX,44.44444444444444,0.832771988071682,37.012088358741416
GOOGL,MSFT,44.44444444444444,-0.8307798288799546,36.923547950220204
UNH,VLO,55.55555555555556,0.6623725170419787,36.79847316899882
JPM,AAPL,66.66666666666666,0.5513298959908025,36.75532639938683
MSFT,BAC,44.44444444444444,-0.8269205032075663,36.75202236478072
LLY,COP,66.66666666666666,-0.5500252228209869,36.668348188065785
VLO,MA,66.66666666666666,-0.5479600548855296,36.53067032570197
TTE,SLB,44.44444444444444,0.815691448176858,36.2529532523048
NVDA,MSFT,44.44444444444444,0.8152393116042267,36.23285829352118
INTC,NVO,66.66666666666666,0.5409617450308107,36.064116335387375
GOOGL,MS,77.77777777777779,0.4630652376109393,36.016185147517504
GOOGL,PBR,55.55555555555556,0.6482772333905231,36.01540185502906
INTC,AMD,44.44444444444444,0.8101635787698381,36.00727016754836
PBR,DHR,66.66666666666666,-0.5393054061078151,35.953693740521
GOOGL,AMD,88.88888888888889,-0.40403450247224704,35.914177997533066
ABBV,AMZN,66.66666666666666,-0.5350272553898369,35.668483692655784
CVX,PFE,44.44444444444444,-0.8017571799333276,35.633652441481225
INTC,META,77.77777777777779,-0.45813003459049473,35.63233602370515
JNJ,VLO,66.66666666666666,-0.5333667609043083,35.55778406028722
ABBV,MA,66.66666666666666,0.5327675053583691,35.517833690557936
AMD,NVO,55.55555555555556,-0.6350562399606604,35.28090222003669
COP,AXP,66.66666666666666,-0.5287625709306957,35.25083806204638
TSLA,MRK,77.77777777777779,-0.4499169230293433,34.993538457837815
AMZN,LLY,66.66666666666666,0.5217649575860133,34.78433050573421
MSFT,SLB,55.55555555555556,-0.6231829267366745,34.62127370759303
AZN,WFC,55.55555555555556,-0.6230049564426485,34.61138646903603
GOOGL,MRK,55.55555555555556,0.621790256648495,34.54390314713861
