Node,degree,betweenness,closeness,clustering,pagerank
NVO,12,0.11471712208446225,0.40425531914893614,0.32727272727272727,0.05343872282287317
SHEL,15,0.129662280383995,0.4578313253012048,0.41818181818181815,0.04703868739969691
META,15,0.09041332592486552,0.3877551020408163,0.4727272727272727,0.04661325090017866
TTE,17,0.0656775320210223,0.40860215053763443,0.5818181818181818,0.04429297672468487
GS,13,0.14937972173557287,0.40425531914893614,0.4393939393939394,0.03958806845217099
PBR,10,0.04395040717438698,0.34234234234234234,0.5,0.038464162331768366
PFE,15,0.04157386967423666,0.40425531914893614,0.6388888888888888,0.037274708474536046
MSFT,14,0.13062518859936192,0.35514018691588783,0.41818181818181815,0.03689743916950386
JNJ,11,0.09539386573360349,0.35185185185185186,0.2857142857142857,0.03657299243533161
AZN,15,0.05693704657743578,0.3838383838383838,0.4696969696969697,0.035066170737802285
NVDA,6,0.05177855218123265,0.3114754098360656,0.2,0.03206155963319001
TSLA,11,0.023538515948470534,0.4222222222222222,0.5357142857142857,0.03168038120563581
PYPL,10,0.02458370771445068,0.36893203883495146,0.5833333333333334,0.028615455542125377
EQNR,7,0.03145571499111493,0.41304347826086957,0.38095238095238093,0.02857722366656369
DHR,12,0.12252835860774682,0.3275862068965517,0.28888888888888886,0.02835323745755517
MS,13,0.03159790777082648,0.4222222222222222,0.4,0.028014816903798437
WFC,9,0.06290811849103482,0.3958333333333333,0.3611111111111111,0.026749548526773012
JPM,7,0.02782349883176064,0.38,0.3,0.026655090966824335
VLO,10,0.04361791513086934,0.3486238532110092,0.39285714285714285,0.025090819814947242
COP,11,0.10938627106515984,0.35514018691588783,0.2222222222222222,0.02423778795432064
XOM,7,0.09220985910023714,0.34545454545454546,0.38095238095238093,0.02367673323566117
MRK,9,0.04839123870692901,0.35185185185185186,0.35714285714285715,0.02355866590655401
ABBV,14,0.07449271020531203,0.35185185185185186,0.41818181818181815,0.02244317175473547
BP,14,0.09475633524078506,0.38,0.4909090909090909,0.020637852629043114
SLB,5,0.006812974049816157,0.3275862068965517,0.5,0.020400075336585603
V,5,0.022984826932195352,0.33043478260869563,0.3333333333333333,0.01997722388262805
CVX,4,0.006436373253821674,0.336283185840708,0.5,0.019643923097574584
ADBE,4,0.022248396056334534,0.3619047619047619,0.16666666666666666,0.019551514059819208
BAC,9,0.027210437808562842,0.3247863247863248,0.5,0.019142005695147526
INTC,6,0.016958721572643276,0.296875,0.4,0.018719633170336713
GOOGL,10,0.025750287975110652,0.3114754098360656,0.3888888888888889,0.018045397808580665
AAPL,11,0.0210154891251434,0.304,0.5357142857142857,0.014724016359039265
TMO,6,0.05434191720051367,0.3392857142857143,0.3,0.013760899578825442
MA,4,0.0,0.304,1.0,0.01290558693953313
AXP,3,0.0,0.2878787878787879,1.0,0.010689094712673883
AMZN,7,0.0003228792702476913,0.2992125984251969,0.7142857142857143,0.009626136252645577
UNH,2,0.0007112375533428165,0.25165562913907286,0.0,0.006731784208626231
LLY,4,0.042675985702301494,0.2835820895522388,0.16666666666666666,0.0052422601974990695
AMD,5,0.015046061098692678,0.2261904761904762,0.2,0.005240924054210845
