dataset_name,experiment_params,window_size,threshold,modularity,nmi,ari,n_communities,nodes,edges,density,avg_degree,diameter,avg_shortest_path,scale_free_slope,scale_free_R2,max_out_degree_lead,top_pagerank_node,max_pagerank_val,sum_granger,avg_granger,sum_mutual_info,avg_mutual_info,tau_degree_betweenness,tau_degree_closeness,tau_betweenness_closeness,top_out_degree_lead,top_in_degree_lag,top_betweenness,top_closeness
1h_1mo_with_vol,w30_t0.2,30,0.2,1.6920196432352232,0.1347779710548534,0.008831321754489255,5,40,1359,0.8711538461538462,67.95,2,1.1288461538461538,1.6447222018859222,0.2003507582406011,39,MRK,0.03735695438710707,353.17114952518597,0.25987575388166734,359.09700941049897,0.26423621001508385,0.4955783925464455,0.70488905861017,0.5422980743409007,"MA, ABBV, AMD, BP, EQNR","ABBV, MRK, SLB, TSLA, BP","MRK, NVO, BP, WFC, MS","ABBV, MRK, SLB, TSLA, BP"
1h_1mo_with_vol,w30_t0.3,30,0.3,1.628571212788917,0.10929106301794969,0.014465577283686044,4,40,1078,0.691025641025641,53.9,2,1.308974358974359,0.3684148484919339,0.07007324668628076,35,MRK,0.04120024508906079,353.17114952518597,0.3276170218229925,321.62644291216026,0.2983547707905012,0.6918111850244424,0.6998271631499063,0.5786609411810035,"GOOGL, NVO, AMD, ABBV, JPM","MRK, BP, NVO, SLB, ABBV","BP, MRK, NVO, TSLA, MS","MRK, BP, NVO, SLB, ABBV"
1h_1mo_with_vol,w30_t0.4,30,0.4,3.244540302345175,0.17239349310600807,0.018659881255301103,5,40,772,0.4948717948717949,38.6,3,1.507051282051282,0.37187330664732426,0.09494990596413612,31,MRK,0.04971904575031843,353.17114952518597,0.45747558228651025,256.39278827864376,0.33211501072363175,0.7766888785318661,0.6843271624657226,0.6519785020126198,"GOOGL, AMD, V, MSFT, NVO","MRK, ABBV, SLB, UNH, AMD","AMD, ABBV, MRK, BP, GOOGL","MRK, ABBV, SLB, UNH, AMD"
1h_1mo_with_vol,w60_t0.2,60,0.2,1.8251786394889697,0.21914347354702202,0.057971014492753624,6,40,1265,0.8108974358974359,63.25,2,1.189102564102564,1.7446277912497798,0.26315138866089244,39,MRK,0.033700991097326743,163.09032648460828,0.1289251592763702,289.7398738240072,0.22904337851700174,0.8703241697506787,0.7919919723863899,0.7372771301972516,"COP, ABBV, TMO, AMD, MA","MRK, MS, PFE, AXP, GS","COP, MRK, ABBV, PFE, TMO","MRK, MS, PFE, AXP, GS"
1h_1mo_with_vol,w60_t0.3,60,0.3,2.6981850431261734,0.14208905860332335,0.0011467889908256881,5,40,761,0.4878205128205128,38.05,3,1.514102564102564,0.19410108680156976,0.016832028765040037,29,MRK,0.043301147988412315,163.09032648460828,0.21431054728595045,206.5178140102728,0.271376890946482,0.8170464806880248,0.773210229096955,0.7163537769012333,"MA, NVO, MSFT, COP, TMO","MRK, ABBV, SLB, GS, MSFT","MRK, ABBV, SLB, NVO, MSFT","MRK, ABBV, SLB, GS, MSFT"
1h_1mo_with_vol,w60_t0.4,60,0.4,3.3641559928296942,0.1792085998382562,0.06657496561210453,4,40,369,0.23653846153846153,18.45,4,1.9282051282051282,-0.10911225742630838,0.007632562168671001,17,MRK,0.055661048231080826,163.09032648460828,0.4419792045653341,111.88887559507127,0.30322188508149395,0.7629679054504,0.6505122777219277,0.6598849223558424,"MA, NVO, MSFT, ABBV, AXP","DHR, MRK, NVDA, SLB, AAPL","MSFT, AXP, ABBV, NVDA, MRK","MRK, DHR, AAPL, SLB, NVDA"
5m_5d_no_vol,w120_t0.2,120,0.2,2.942204873117631,0.11472747238149703,-0.030218933086648164,6,40,547,0.3506410256410256,27.35,3,1.6717948717948719,0.3814231619233771,0.05931377099811361,23,ADBE,0.03853422081347347,538.4045562279651,0.9842862088262617,0.0,0.0,0.7639927116953232,0.6514137797678058,0.6125431149412243,"CVX, PFE, MRK, MS, COP","ADBE, ABBV, AMD, AMZN, C","ABBV, MRK, C, SLB, AMZN","ADBE, ABBV, AMD, AMZN, C"
5m_5d_no_vol,w120_t0.3,120,0.3,2.942204873117631,0.11472747238149703,-0.030218933086648164,6,40,547,0.3506410256410256,27.35,3,1.6717948717948719,0.3814231619233771,0.05931377099811361,23,ADBE,0.03853422081347347,538.4045562279651,0.9842862088262617,0.0,0.0,0.7639927116953232,0.6514137797678058,0.6125431149412243,"CVX, PFE, MRK, MS, COP","ADBE, ABBV, AMD, AMZN, C","ABBV, MRK, C, SLB, AMZN","ADBE, ABBV, AMD, AMZN, C"
5m_5d_no_vol,w120_t0.4,120,0.4,2.942204873117631,0.11472747238149703,-0.030218933086648164,6,40,547,0.3506410256410256,27.35,3,1.6717948717948719,0.3814231619233771,0.05931377099811361,23,ADBE,0.03853422081347347,538.4045562279651,0.9842862088262617,0.0,0.0,0.7639927116953232,0.6514137797678058,0.6125431149412243,"CVX, PFE, MRK, MS, COP","ADBE, ABBV, AMD, AMZN, C","ABBV, MRK, C, SLB, AMZN","ADBE, ABBV, AMD, AMZN, C"
5m_5d_no_vol,w30_t0.2,30,0.2,2.230314076674489,0.07413917873488447,-0.009229098805646038,4,40,471,0.3019230769230769,23.55,3,1.7423076923076923,-0.064138327217197,0.0019976645644016783,23,SLB,0.043685771012527796,463.46422802347047,0.9840004841262643,0.0,0.0,0.6930236727592375,0.5091738766993671,0.41082130936235894,"MS, TSLA, META, MRK, PBR","META, SLB, MS, AAPL, PYPL","META, MS, TSLA, SLB, PBR","META, SLB, MS, AAPL, BP"
