Node,out_degree_Lead,in_degree_Lag,betweenness,closeness,clustering,pagerank
V,15,17,0.057914474942824444,0.639344262295082,0.48,0.04921171011716081
XOM,10,17,0.0348368507244524,0.6290322580645161,0.4675324675324675,0.04031154564001322
ADBE,6,13,0.01322582488237009,0.5909090909090909,0.5514705882352942,0.0369961918095711
JNJ,5,13,0.019656435366519846,0.5909090909090909,0.36666666666666664,0.03639849344899329
COP,18,10,0.05082524793952536,0.5571428571428572,0.45454545454545453,0.03436219383921342
TMO,4,11,0.008044168425007847,0.5652173913043478,0.4945054945054945,0.03311394818909135
CVX,13,16,0.03613203120067745,0.6290322580645161,0.45021645021645024,0.03260555819842264
SLB,9,13,0.023745364866057758,0.582089552238806,0.42105263157894735,0.031835797981230686
C,15,10,0.030023181877079835,0.5652173913043478,0.49673202614379086,0.030736194494071608
EQNR,8,12,0.0170650592230135,0.5909090909090909,0.5424836601307189,0.02944887880496058
AAPL,7,11,0.017083369751068403,0.5652173913043478,0.5163398692810458,0.029406602075348082
JPM,8,10,0.01981470485358733,0.5652173913043478,0.4,0.02881990227784361
UNH,15,14,0.037183666323718466,0.609375,0.5021645021645021,0.027714535523653636
PBR,9,11,0.010868819190741076,0.5735294117647058,0.5666666666666667,0.0266267741293643
MSFT,17,9,0.03975086681540911,0.5571428571428572,0.4505928853754941,0.02653771676259639
AXP,4,10,0.010949990621920657,0.5735294117647058,0.46153846153846156,0.02587118027672414
TSLA,12,10,0.03258066596010467,0.5492957746478874,0.41830065359477125,0.02576856439032664
PFE,12,10,0.03336285730754652,0.5492957746478874,0.4678362573099415,0.02567153344453467
TTE,7,9,0.023758551144718688,0.5416666666666666,0.4175824175824176,0.02561300027525602
NVDA,14,11,0.039160945874323734,0.5735294117647058,0.5047619047619047,0.02550867629770719
NVO,5,13,0.012799591983117298,0.582089552238806,0.44166666666666665,0.025261378837700386
AMZN,12,9,0.03034002503140936,0.5492957746478874,0.4,0.025173086214229205
BAC,6,9,0.007861108190055558,0.5492957746478874,0.46153846153846156,0.023545991053647183
AMD,11,11,0.023609160209133888,0.5652173913043478,0.5098039215686274,0.022602467884178763
INTC,10,8,0.03129745111208429,0.5492957746478874,0.4666666666666667,0.0225949386584781
PYPL,10,9,0.015716286505744515,0.52,0.5032679738562091,0.022333596819112397
BP,11,9,0.02222068499306605,0.52,0.44166666666666665,0.022190147397650503
MS,18,6,0.024425942010089033,0.4875,0.46842105263157896,0.020558326370883836
LLY,8,7,0.01710975502689695,0.5064935064935064,0.3717948717948718,0.019725768990373687
META,9,9,0.02053071274948455,0.5416666666666666,0.33088235294117646,0.01948971856985627
VLO,9,8,0.020269993814587762,0.5131578947368421,0.4380952380952381,0.018595053880855302
ABBV,8,8,0.015630726453525742,0.5342465753424658,0.4857142857142857,0.018159554991547106
SHEL,5,9,0.015282665405710572,0.527027027027027,0.4175824175824176,0.01792791272012283
AZN,11,6,0.009694945416138431,0.5064935064935064,0.5083333333333333,0.017254527338316544
MA,5,7,0.006960633859190532,0.5131578947368421,0.4727272727272727,0.015416121567552381
MRK,10,5,0.010896439059692212,0.46987951807228917,0.4380952380952381,0.015105347882656505
GS,10,4,0.016571802567873058,0.43820224719101125,0.4175824175824176,0.014289246089665423
DHR,3,5,0.007292349914998166,0.4642857142857143,0.23809523809523808,0.014120714811640706
WFC,11,6,0.013670437808515795,0.4936708860759494,0.46153846153846156,0.012886695008335416
GOOGL,9,4,0.007801122878720718,0.45348837209302323,0.41025641025641024,0.010210406937114027
