Node,out_degree_Lead,in_degree_Lag,betweenness,closeness,clustering,pagerank
V,33,33,0.018420531867283926,0.8666666666666667,0.8477951635846372,0.03703890901620256
XOM,30,35,0.016994838144369494,0.9069767441860465,0.8463726884779517,0.03559517632650635
ADBE,21,27,0.008566906058544172,0.7647058823529411,0.8408602150537634,0.031500691785989424
COP,28,32,0.013475905478783058,0.8478260869565217,0.8543543543543544,0.03126957829078757
JNJ,28,26,0.011806462305138571,0.75,0.8587301587301587,0.030038356942989477
EQNR,26,29,0.011906683286793536,0.7959183673469388,0.853781512605042,0.029991037652914533
CVX,31,29,0.012297996590538181,0.7959183673469388,0.8507936507936508,0.029627027677556858
C,30,29,0.0108571357234927,0.7959183673469388,0.8504201680672269,0.028831346255947687
SLB,23,26,0.007615761544191575,0.75,0.8588235294117647,0.02818872072758029
JPM,20,28,0.008200796613486678,0.78,0.8602150537634409,0.02812724450278635
BAC,21,28,0.0094050626648709,0.78,0.8541666666666666,0.02706805835386234
NVO,25,26,0.009504127675522004,0.75,0.853781512605042,0.02686552862027682
TTE,30,29,0.011899912862563065,0.7959183673469388,0.8571428571428571,0.02665019376134173
NVDA,32,27,0.011632127951170216,0.7647058823529411,0.8558558558558559,0.026453820008078253
AAPL,25,25,0.008946093223922667,0.7358490566037735,0.8609625668449198,0.026373835033202106
BP,33,28,0.013618021155780086,0.78,0.8573573573573574,0.026133285749276074
MSFT,30,25,0.00920750429593796,0.7358490566037735,0.8636363636363636,0.025711598918993488
TMO,11,21,0.0030307884104316236,0.6842105263157895,0.8615384615384616,0.025680561451420687
AMD,27,28,0.009395994877823392,0.78,0.8722689075630252,0.0256368921130952
UNH,28,24,0.009075868153827764,0.7222222222222222,0.875,0.025264915929003758
PFE,24,25,0.008481588173274738,0.7358490566037735,0.8588709677419355,0.025026501894297767
PYPL,28,25,0.009336903405587625,0.7358490566037735,0.8538324420677362,0.024844918933258887
TSLA,30,23,0.010985585129657789,0.7090909090909091,0.8571428571428571,0.024815060654828712
PBR,25,23,0.005811010216736655,0.7090909090909091,0.896551724137931,0.02373933187010317
SHEL,23,24,0.00911033550078724,0.7222222222222222,0.843010752688172,0.023252424302414455
INTC,33,25,0.011335601129212771,0.7358490566037735,0.8476190476190476,0.023223388328468344
AXP,23,24,0.007652809514723079,0.7222222222222222,0.8709677419354839,0.0232182125241555
AMZN,32,23,0.009958977696972274,0.7090909090909091,0.846031746031746,0.022994994150848116
ABBV,17,24,0.005619446930681817,0.7222222222222222,0.8620689655172413,0.022755334636872272
LLY,24,21,0.006970955802600499,0.6842105263157895,0.8579545454545454,0.021814238826813583
VLO,19,24,0.006779519626787527,0.7222222222222222,0.8781609195402299,0.021606699505720528
MS,29,23,0.009866841456259743,0.7090909090909091,0.8617424242424242,0.02107294807451552
META,24,22,0.008438789314472502,0.6964285714285714,0.8465909090909091,0.020900919111429498
MA,19,25,0.006490397614014276,0.7358490566037735,0.8674242424242424,0.020874515379560764
WFC,25,24,0.007409188014792871,0.7222222222222222,0.875,0.019709851519814928
AZN,20,19,0.006541120981212551,0.6610169491525424,0.8528735632183908,0.019077682554942455
DHR,22,21,0.007551417230079007,0.6842105263157895,0.864367816091954,0.018615501623652518
MRK,17,21,0.0066103109222861505,0.6842105263157895,0.8349753694581281,0.018285236215674367
GOOGL,19,21,0.005493540277056347,0.6842105263157895,0.8768472906403941,0.01760868531507131
GS,24,17,0.005492013973204739,0.639344262295082,0.8451612903225807,0.014516775459745584
