Lead,Lag,Freq,AvgWeight,Score
COP,XOM,100.0,0.6702576340300473,67.02576340300473
XOM,COP,100.0,0.6555800501187113,65.55800501187113
BP,XOM,100.0,0.6436815251176755,64.36815251176755
COP,SHEL,100.0,0.6305235490600577,63.05235490600577
EQNR,BP,100.0,0.6050739356418808,60.507393564188085
BP,SHEL,99.0,0.6713771377827341,66.46633664049068
XOM,BP,99.0,0.6355715022538669,62.921578723132825
CVX,XOM,98.0,0.7195524924124058,70.51614425641577
COP,CVX,98.0,0.673498439750341,66.00284709553341
CVX,SHEL,98.0,0.5955215140371879,58.36110837564441
SHEL,COP,98.0,0.5878979186450062,57.613996027210604
XOM,CVX,97.0,0.7123687941634399,69.09977303385367
CVX,COP,97.0,0.6694862829160405,64.94016944285593
COP,EQNR,97.0,0.5584772208319104,54.17229042069531
EQNR,COP,97.0,0.554809194004624,53.81649181844853
COP,BP,96.0,0.6570076755742814,63.07273685513101
SHEL,BP,96.0,0.6464837761130436,62.06244250685219
BP,EQNR,96.0,0.6191074819505894,59.434318267256586
BP,COP,95.0,0.6612035912827114,62.814341171857585
CVX,BP,95.0,0.6290617990522682,59.76087090996548
BP,CVX,95.0,0.6134555933489735,58.278281368152484
XOM,SHEL,94.0,0.6063862168771637,57.00030438645339
EQNR,SHEL,92.0,0.5900608042266474,54.28559398885156
CVX,EQNR,91.0,0.55630024966217,50.623322719257466
XOM,TTE,90.0,0.5896162492465403,53.06546243218863
SHEL,XOM,90.0,0.5766001434830544,51.8940129134749
VLO,COP,90.0,0.5665391567763678,50.988524109873104
BP,TTE,89.0,0.6105057986563963,54.33501608041927
SHEL,TTE,89.0,0.5737449393287632,51.06329960025993
EQNR,XOM,88.0,0.5647470831478792,49.697743317013376
COP,TTE,88.0,0.5623504729244615,49.48684161735261
COP,VLO,87.0,0.5908573977095986,51.404593600735076
SHEL,EQNR,87.0,0.5858786873384921,50.97144579844881
DHR,TMO,87.0,0.552831199694476,48.09631437341942
CVX,TTE,86.0,0.5842126412521378,50.24228714768385
XOM,EQNR,86.0,0.5709628926410081,49.102808767126696
SHEL,CVX,86.0,0.5598691875205591,48.148750126768086
MA,V,85.0,0.5911353879299066,50.24650797404206
EQNR,CVX,85.0,0.5563284337426386,47.287916868124285
CVX,VLO,84.0,0.5814163320916119,48.8389718956954
GS,C,84.0,0.5550382753283026,46.623215127577424
XOM,VLO,83.0,0.5844836369402261,48.51214186603877
VLO,XOM,83.0,0.5593613388614819,46.426991125502994
TTE,XOM,82.0,0.5532654344635931,45.36776562601464
WFC,JPM,81.0,0.6075756227995799,49.213625446765974
TMO,DHR,81.0,0.5497018581855828,44.52585051303221
V,MA,79.0,0.583955821962127,46.13250993500804
VLO,CVX,79.0,0.575967663629476,45.50144542672861
MS,GS,79.0,0.5532888728483251,43.70982095501768
TTE,SHEL,79.0,0.542853739914633,42.88544545325601
C,GS,79.0,0.5418045140597109,42.80255661071716
GS,MS,78.0,0.577548045875131,45.04874757826022
BAC,JPM,78.0,0.5447737191375841,42.49235009273156
EQNR,PBR,76.0,0.5482399752781276,41.6662381211377
COP,PBR,75.0,0.5312360827433886,39.84270620575415
JPM,BAC,74.0,0.5491972257633801,40.640594706490134
PBR,EQNR,74.0,0.5459626678499543,40.40123742089662
BAC,GS,74.0,0.5179699730222975,38.32977800365002
JPM,WFC,73.0,0.6339034475620287,46.274951672028095
EQNR,TTE,73.0,0.5627006200745062,41.07714526543895
GS,BAC,73.0,0.5291174181402977,38.62557152424173
TTE,BP,72.0,0.5930718678480148,42.70117448505707
PBR,BP,72.0,0.5834668284647404,42.009611649461306
VLO,BP,72.0,0.5785835602712771,41.658016339531954
INTC,AMD,72.0,0.5255366211347903,37.8386367217049
VLO,EQNR,72.0,0.5237563042602122,37.71045390673528
BP,VLO,71.0,0.6214598071424298,44.123646307112516
C,BAC,71.0,0.5592116095778746,39.7040242800291
XOM,PBR,71.0,0.530851161423866,37.69043246109449
BP,PBR,70.0,0.5825596199883025,40.779173399181175
BAC,C,70.0,0.5702879594118335,39.920157158828346
PBR,SHEL,70.0,0.5484434830914956,38.39104381640469
GS,JPM,70.0,0.5413149817888753,37.89204872522127
