Node,out_degree_Lead,in_degree_Lag,betweenness,closeness,clustering,pagerank
MRK,27,36,0.017422691443540226,0.9285714285714286,0.8483483483483484,0.04120024508906079
SLB,32,35,0.012174061909514415,0.9069767441860465,0.8843843843843844,0.034514477963594845
ABBV,33,34,0.010737426830026823,0.8863636363636364,0.8762446657183499,0.033586118053361425
XOM,15,28,0.005454977108184376,0.78,0.8620689655172413,0.030641019839276366
BP,31,35,0.01849889503908989,0.9069767441860465,0.8468468468468469,0.03062871918267153
TMO,25,27,0.010398694074742615,0.7647058823529411,0.8555555555555555,0.030138668584569282
COP,29,30,0.008040823795326371,0.8125,0.8948306595365418,0.02988996914978718
UNH,31,34,0.009045124188406672,0.8863636363636364,0.9126050420168067,0.029837190704465673
AMD,34,32,0.011336853408029427,0.8478260869565217,0.8933933933933934,0.02955561327075034
NVO,35,35,0.015217280033782544,0.9069767441860465,0.8762446657183499,0.029332891537492512
TSLA,32,33,0.015045646447594848,0.8666666666666667,0.8492176386913229,0.02890243944581766
LLY,26,32,0.006736359138586353,0.8478260869565217,0.9037433155080213,0.02804638382920818
PBR,17,30,0.004014397828235869,0.8125,0.9225806451612903,0.02758450592997456
MS,33,32,0.013058139927226906,0.8478260869565217,0.8520625889046942,0.027231973049990647
SHEL,28,31,0.006165438410448333,0.8297872340425532,0.9126050420168067,0.027221623110680424
GS,32,31,0.009018755923083226,0.8297872340425532,0.8798798798798799,0.02701934193726899
GOOGL,35,30,0.01108291493267179,0.8125,0.8762446657183499,0.026837409427775426
MA,32,32,0.01010655360189732,0.8478260869565217,0.8798798798798799,0.026412986231687426
WFC,21,28,0.00772577928412135,0.78,0.8556149732620321,0.02621595708155563
PFE,26,22,0.007992253712214717,0.6964285714285714,0.8693181818181818,0.02598189120761317
DHR,23,26,0.006454719973807583,0.75,0.9032258064516129,0.025762802484014975
NVDA,31,29,0.007051406900995452,0.7959183673469388,0.9180035650623886,0.025038902768242617
JNJ,17,24,0.0025548551721625502,0.7222222222222222,0.9312169312169312,0.02451106447749734
BAC,31,26,0.005883230681882694,0.75,0.9092436974789916,0.022957015163001658
ADBE,31,24,0.011079717271976628,0.7222222222222222,0.8588235294117647,0.022815679540048154
AZN,22,21,0.004725659087323178,0.6842105263157895,0.9247311827956989,0.0224923056999895
JPM,33,30,0.008126873382238282,0.8125,0.8984126984126984,0.022395331866746082
AAPL,23,24,0.006670881482064386,0.7222222222222222,0.8731182795698925,0.021357434693301095
AXP,24,25,0.004042584313148428,0.7358490566037735,0.910873440285205,0.02127495184061083
MSFT,33,29,0.008386261653520553,0.7959183673469388,0.9,0.021053293795543066
META,27,23,0.005305395264200369,0.7090909090909091,0.9149425287356322,0.019917791924111163
VLO,27,24,0.0066114264434249505,0.7222222222222222,0.8911290322580645,0.01989641550126228
EQNR,26,22,0.004491191018306067,0.6964285714285714,0.9015151515151515,0.019436192804712715
TTE,12,18,0.0018833114284453085,0.65,0.922077922077922,0.01905685669356942
V,31,23,0.009491558230805138,0.7090909090909091,0.8761904761904762,0.018540940150943007
PYPL,31,21,0.005342529239750268,0.6842105263157895,0.9247311827956989,0.01852124448637227
INTC,30,23,0.012311226724694084,0.7090909090909091,0.8554621848739495,0.0181654339246686
AMZN,20,16,0.0028194941891230767,0.6290322580645161,0.905982905982906,0.01725523692274961
CVX,24,16,0.0021767243412462015,0.6290322580645161,0.9312169312169312,0.01658458999696163
C,8,7,0.0005540535055912206,0.5492957746478874,0.8909090909090909,0.012187090639051795
