Node,degree,betweenness,closeness,clustering,pagerank
GS,26,0.027485951538263536,0.609375,0.6140350877192983,0.037482248120192484
MS,26,0.010404581176320664,0.5735294117647058,0.8571428571428571,0.03592209230911905
PYPL,24,0.01511057315030786,0.5571428571428572,0.7083333333333334,0.03454445091781823
EQNR,39,0.01635713129588823,0.7222222222222222,0.77,0.034450531594403005
PBR,40,0.01403119704374035,0.639344262295082,0.8571428571428571,0.032850870592783
BP,38,0.0059685630060126735,0.65,0.8458498023715415,0.03215793781988693
SHEL,36,0.019549572456535925,0.6724137931034483,0.8023715415019763,0.03143866544126371
COP,38,0.008646955304333064,0.639344262295082,0.8398268398268398,0.031210420416233724
CVX,39,0.006460366848410379,0.609375,0.8658008658008658,0.030619583031971678
AAPL,42,0.018591680694054372,0.6610169491525424,0.782608695652174,0.030218535956445216
XOM,36,0.0050403845712847966,0.6,0.8714285714285714,0.030072242007963657
META,20,0.006616024638178265,0.5735294117647058,0.7582417582417582,0.02961486318367212
VLO,39,0.006491889402043066,0.609375,0.8744588744588745,0.029241168314078664
AMZN,24,0.012353006984563831,0.5735294117647058,0.7333333333333333,0.029189241741992437
GOOGL,36,0.023430279673675287,0.639344262295082,0.6702898550724637,0.028610198468990704
DHR,48,0.05810022970333524,0.7090909090909091,0.6502463054187192,0.028327924408311396
TSLA,19,0.0031579573851756,0.5909090909090909,0.7692307692307693,0.027198770507390082
C,26,0.008272636029046912,0.5652173913043478,0.7904761904761904,0.026269607859028377
AZN,20,0.003615368154224958,0.5416666666666666,0.8333333333333334,0.02541996492890146
TTE,32,0.004066977059193558,0.582089552238806,0.9084967320261438,0.025161023765468256
SLB,33,0.015845493535882292,0.6,0.8421052631578947,0.024449175876894
JPM,28,0.02637977961417408,0.6290322580645161,0.6142857142857143,0.023656155623780338
WFC,37,0.054426950185767174,0.6724137931034483,0.5370370370370371,0.02341457202677769
BAC,35,0.03043214789380915,0.639344262295082,0.5661538461538461,0.023080989653443833
UNH,42,0.00985556939612519,0.6,0.8152173913043478,0.022924889951530383
MSFT,33,0.02054197926880458,0.6724137931034483,0.6676923076923077,0.02268161174336869
ABBV,43,0.013702618352990645,0.5735294117647058,0.7321937321937322,0.02238003290314845
ADBE,31,0.026728590631896323,0.639344262295082,0.5760869565217391,0.021585952517669732
TMO,41,0.01249362381894226,0.582089552238806,0.83399209486166,0.021076660650488407
INTC,19,0.019305134859375767,0.609375,0.5238095238095238,0.020783281241208523
AMD,20,0.014569727441625345,0.5735294117647058,0.6538461538461539,0.019991687438335393
MA,29,0.015882415852295356,0.5909090909090909,0.672514619883041,0.018557561691277594
MRK,41,0.013883666482214934,0.5492957746478874,0.7008547008547008,0.018128623993169588
AXP,28,0.014153968598087896,0.582089552238806,0.6368421052631579,0.01773147770174429
JNJ,38,0.014232585938026199,0.5571428571428572,0.6892307692307692,0.017643742105060825
V,27,0.025193624937358678,0.582089552238806,0.6691176470588235,0.017128578063054994
NVO,31,0.05522870588401209,0.5492957746478874,0.6215384615384615,0.01602334357745774
NVDA,19,0.024089477068517818,0.5416666666666666,0.5882352941176471,0.015497897216865859
LLY,35,0.008688900215996985,0.4936708860759494,0.7318840579710145,0.012195329964870633
PFE,28,0.016416682870372314,0.5416666666666666,0.6783625730994152,0.011068094673938784
