Date,AAPL,ABBV,ADBE,AMD,AMZN,AXP,AZN,BAC,BP,C,COP,CVX,DHR,EQNR,GOOGL,GS,INTC,JNJ,JPM,LLY,MA,META,MRK,MS,MSFT,NVDA,NVO,PBR,PFE,PYPL,SHEL,SLB,TMO,TSLA,TTE,UNH,V,VLO,WFC,XOM
2025-05-02,204.45889282226562,192.20822143554688,380.8699951171875,98.80000305175781,189.97999572753906,273.9781494140625,142.39491271972656,40.16656494140625,26.556049346923828,68.80144500732422,88.38273620605469,132.53564453125,197.68771362304688,21.90424346923828,163.46319580078125,554.6101684570312,20.6200008392334,151.8881072998047,247.69285583496094,817.5665893554688,556.105224609375,595.163330078125,80.26427459716797,117.38668060302734,431.97296142578125,114.47303009033203,66.03669738769531,10.998830795288086,22.562280654907227,66.88241577148438,64.06786346435547,33.69987487792969,421.9971923828125,287.2099914550781,55.31795120239258,388.9522399902344,345.0178527832031,115.53379821777344,72.23202514648438,102.68192291259766
2025-05-05,198.02691650390625,189.88394165039062,381.05999755859375,100.58999633789062,186.35000610351562,275.1459045410156,141.7069091796875,40.2154655456543,27.55709457397461,69.00776672363281,84.70858001708984,129.6648406982422,196.0489959716797,21.753503799438477,163.64259338378906,548.2029418945312,20.270000457763672,150.7984619140625,247.74192810058594,815.4224853515625,557.8250122070312,597.40625,79.93619537353516,116.78129577636719,432.8562316894531,113.79318237304688,65.93177032470703,10.610414505004883,22.254613876342773,68.17550659179688,62.606536865234375,32.758644104003906,420.72186279296875,280.260009765625,54.992156982421875,393.7080993652344,346.0501403808594,115.93209075927734,72.28095245361328,99.83958435058594
2025-05-06,197.6485595703125,181.245361328125,382.9800109863281,98.62000274658203,185.00999450683594,272.51348876953125,138.1096954345703,39.941627502441406,26.820476531982422,68.25127410888672,84.72792053222656,129.7605438232422,188.7493133544922,21.92308807373047,162.6659698486328,538.2098999023438,19.940000534057617,150.28282165527344,244.49505615234375,769.4230346679688,555.70751953125,585.4835205078125,76.26939392089844,115.54122924804688,430.0179443359375,113.51325988769531,63.232303619384766,10.705150604248047,21.331607818603516,67.6881103515625,62.58729934692383,32.583984375,405.52777099609375,275.3500061035156,55.07839584350586,383.6905822753906,345.11712646484375,113.65892028808594,71.9188232421875,101.23174285888672
2025-05-07,195.3983612060547,182.1557159423828,384.9700012207031,100.36000061035156,188.7100067138672,273.37445068359375,137.7362060546875,40.02964401245117,26.565492630004883,69.01759338378906,84.80526733398438,129.9423370361328,191.76849365234375,21.565080642700195,150.85691833496094,540.7179565429688,20.309999465942383,153.03611755371094,244.63238525390625,771.0112915039062,563.00439453125,594.9539184570312,76.34658813476562,116.29307556152344,430.0576477050781,117.03242492675781,64.43418884277344,10.72409725189209,21.247703552246094,68.32470703125,62.53923416137695,32.50635528564453,406.3547668457031,276.2200012207031,54.85800552368164,380.335205078125,347.2511901855469,113.61034393310547,71.62518310546875,101.13507080078125
2025-05-08,196.6329803466797,179.72488403320312,383.989990234375,101.69999694824219,192.0800018310547,280.7174987792969,132.29124450683594,40.684906005859375,26.999908447265625,70.38320922851562,85.87850952148438,131.13851928710938,193.48666381835938,21.470869064331055,153.74688720703125,554.2183227539062,21.0,151.44058227539062,248.63455200195312,745.9270629882812,563.789794921875,596.1502075195312,74.9281234741211,119.00756072998047,434.84100341796875,117.34235382080078,61.85872268676758,11.036725044250488,21.41551971435547,70.10519409179688,62.568077087402344,33.302032470703125,409.2740173339844,284.82000732421875,55.001739501953125,374.9762878417969,348.6606140136719,118.25384521484375,71.7524185180664,102.54657745361328
2025-05-09,197.66848754882812,178.7758331298828,383.2799987792969,102.83999633789062,193.05999755859375,281.5586853027344,132.8219757080078,40.8707275390625,28.11427879333496,70.19654846191406,85.6561279296875,132.5260772705078,188.43148803710938,21.696979522705078,152.22216796875,555.58984375,21.420000076293945,150.0396270751953,248.2519989013672,729.1710815429688,565.3009033203125,590.6472778320312,73.30701446533203,118.83179473876953,435.3967590332031,116.62252044677734,62.73628234863281,11.178829193115234,21.16849136352539,69.88636016845703,63.596771240234375,33.525211334228516,401.65203857421875,298.260009765625,56.35283279418945,370.2009582519531,349.9211730957031,119.4195785522461,71.29972076416016,103.74536895751953
2025-05-12,210.15048217773438,184.07325744628906,395.94000244140625,108.12000274658203,208.63999938964844,295.8192138671875,135.5346221923828,42.40618896484375,28.510923385620117,73.5958480834961,89.21424102783203,135.52127075195312,199.4555206298828,21.772348403930664,157.91246032714844,579.337890625,22.18000030517578,149.96177673339844,255.08901977539062,750.016845703125,574.8743286132812,637.4412841796875,77.61067199707031,124.06547546386719,445.8467712402344,122.97102355957031,64.61541748046875,11.434616088867188,21.938081741333008,71.92545318603516,63.81789016723633,34.78665542602539,431.0040283203125,318.3800048828125,56.2474250793457,368.36279296875,353.20660400390625,126.76370239257812,73.6911392211914,105.533935546875
2025-05-13,212.28399658203125,182.06854248046875,397.3999938964844,112.45999908447266,211.3699951171875,299.16412353515625,133.11683654785156,43.30595779418945,28.860342025756836,74.24427032470703,91.05133056640625,136.21986389160156,195.264404296875,22.262248992919922,158.978759765625,591.5548095703125,22.559999465942383,144.41629028320312,257.9925537109375,740.5767211914062,573.2042236328125,653.98974609375,73.94387817382812,126.301513671875,445.72772216796875,129.89938354492188,62.383358001708984,11.548297882080078,21.72905731201172,71.90556335449219,65.00042724609375,35.038944244384766,427.3774108886719,334.07000732421875,57.39728927612305,302.84039306640625,354.08148193359375,131.2517547607422,74.78353118896484,105.82395935058594
2025-05-14,211.68582153320312,171.8417205810547,399.4700012207031,117.72000122070312,210.25,296.9869384765625,130.1879425048828,43.755836486816406,28.671466827392578,73.96918487548828,89.50431060791016,135.56912231445312,186.53457641601562,22.01729965209961,164.79856872558594,599.1866455078125,21.520000457763672,142.39266967773438,260.5723876953125,710.30078125,569.9136352539062,657.3092651367188,70.89464569091797,127.95166778564453,449.4988098144531,135.30810546875,61.439022064208984,11.510403633117676,20.92146110534668,72.29348754882812,64.50048828125,34.9419059753418,404.56134033203125,347.67999267578125,56.82235336303711,299.5628662109375,354.3996276855469,130.4843292236328,75.06892395019531,104.87652587890625
2025-05-15,210.80848693847656,175.9479522705078,404.69000244140625,114.98999786376953,205.1699981689453,296.4426574707031,133.58859252929688,43.403751373291016,28.43537139892578,74.6274185180664,89.88140106201172,136.13369750976562,189.6431427001953,22.20572280883789,163.39344787597656,603.3994140625,21.549999237060547,145.5545654296875,262.3870544433594,727.9005126953125,578.78125,641.8775024414062,72.17802429199219,129.3870391845703,450.5129089355469,134.79824829101562,63.098758697509766,11.415669441223145,21.47252655029297,71.18938446044922,64.78890991210938,34.6605110168457,403.4454345703125,342.82000732421875,56.736114501953125,266.82598876953125,360.20587158203125,131.5043487548828,74.3898696899414,105.94001770019531
