Price,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,ABBV,ADBE,AMD,AMZN,AXP,AZN,BAC,BP,C,COP,CVX,DHR,EQNR,GOOGL,GS,INTC,JNJ,JPM,LLY,MA,META,MRK,MS,MSFT,NVDA,NVO,PBR,PFE,PYPL,SHEL,SLB,TMO,TSLA,TTE,UNH,V,VLO,WFC,XOM,AAPL,ABBV,ADBE,AMD,AMZN,AXP,AZN,BAC,BP,C,COP,CVX,DHR,EQNR,GOOGL,GS,INTC,JNJ,JPM,LLY,MA,META,MRK,MS,MSFT,NVDA,NVO,PBR,PFE,PYPL,SHEL,SLB,TMO,TSLA,TTE,UNH,V,VLO,WFC,XOM
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27 13:30:00+00:00,266.1499938964844,198.97999572753906,240.1649932861328,338.80108642578125,262.8349914550781,316.44500732421875,189.55999755859375,52.69499969482422,46.86000061035156,128.86000061035156,122.94000244140625,187.5,177.8000030517578,38.43000030517578,342.760009765625,939.4299926757812,85.02580261230469,227.1875,310.1549987792969,882.6799926757812,502.260009765625,675.0,112.20999908447266,189.47000122070312,418.5799865722656,210.84869384765625,40.69990158081055,21.399999618530273,26.989999771118164,50.0099983215332,89.29000091552734,56.16999816894531,468.8949890136719,368.9849853515625,90.43000030517578,353.4849853515625,307.29998779296875,239.0050048828125,80.31999969482422,150.36500549316406,4317221,1121601,323103,5989599,4798129,515918,60528,1249461,699469,318706,590399,422568,212343,283463,2050622,71314,21446158,285455,797241,172811,79249,944099,253704,187782,3885154,15376407,1600356,975067,2089671,410799,1390315,838053,96721,4023804,65760,447065,462687,91757,736632,682216
2026-04-27 13:35:00+00:00,267.19989013671875,199.2449951171875,242.47999572753906,334.5849914550781,263.20001220703125,317.1700134277344,189.88499450683594,52.88909912109375,46.79999923706055,128.99000549316406,122.93499755859375,187.33999633789062,180.0,38.36000061035156,344.7799987792969,939.1400146484375,84.5199966430664,226.8000030517578,310.2200012207031,889.0,505.6300048828125,676.344970703125,112.37999725341797,189.99000549316406,420.1400146484375,210.60499572753906,41.029998779296875,21.415000915527344,27.100000381469727,50.279998779296875,88.91999816894531,55.95000076293945,472.9649963378906,368.8399963378906,90.2699966430664,353.0400085449219,309.57000732421875,239.7899932861328,80.31999969482422,150.4499969482422,1185064,74502,164331,2108464,1122999,47243,22743,813546,111262,48015,152912,99834,29423,51093,587970,24654,6203178,132733,113612,37220,34901,259532,42634,45845,815170,5249400,301490,541880,294250,388394,313005,187876,51668,1417427,14694,85331,193364,41037,456664,221091
2026-04-27 13:40:00+00:00,267.4849853515625,200.8625030517578,244.2100067138672,333.5450134277344,262.0849914550781,316.25,190.47999572753906,52.70500183105469,46.73249816894531,128.36000061035156,122.44000244140625,186.85000610351562,180.1199951171875,38.399898529052734,345.92999267578125,934.0700073242188,85.32990264892578,226.82000732421875,309.5899963378906,890.6950073242188,506.3800048828125,677.47998046875,112.5,189.27000427246094,420.6499938964844,209.7899932861328,41.2400016784668,21.450000762939453,27.209999084472656,50.150001525878906,88.77999877929688,55.34000015258789,474.1300048828125,369.114990234375,90.30989837646484,352.5,309.8800048828125,240.22500610351562,80.0999984741211,150.5500030517578,719882,104059,142641,2397530,871813,25562,23727,416077,110755,52679,96302,236000,73480,29809,606123,14549,5758414,73701,80575,42948,29502,244242,103384,79011,461785,3738131,787692,285747,603278,207827,465598,288714,22288,1490697,9567,81720,68768,27553,182310,128195
2026-04-27 13:45:00+00:00,267.9700012207031,200.8699951171875,245.1999969482422,331.0899963378906,261.1391906738281,314.7799987792969,190.1999969482422,52.6150016784668,46.61000061035156,127.81999969482422,122.08000183105469,187.08999633789062,180.2949981689453,38.31999969482422,346.2699890136719,930.469970703125,85.22879791259766,226.83999633789062,309.3949890136719,888.02001953125,508.2099914550781,675.760009765625,112.5,188.14999389648438,420.5400085449219,210.0,41.279998779296875,21.479999542236328,27.315000534057617,49.834999084472656,88.26499938964844,55.20000076293945,473.2049865722656,366.92999267578125,90.26000213623047,352.2218017578125,310.0249938964844,239.9600067138672,79.83999633789062,150.7100067138672,745855,156306,146619,1503481,1238854,19864,17897,511274,256849,64858,341855,101994,73825,24619,800808,15108,5261214,104547,67789,62203,42511,351697,113197,48504,500211,3700310,490912,368905,1356031,406700,344178,322644,35857,1453567,44491,77251,114886,20601,174939,166320
2026-04-27 13:50:00+00:00,267.9100036621094,200.44000244140625,243.60499572753906,333.56500244140625,261.4700012207031,315.29998779296875,190.3000030517578,52.755001068115234,46.56999969482422,128.0399932861328,121.91999816894531,186.98500061035156,180.39999389648438,38.275001525878906,347.3699951171875,933.6300048828125,84.75,227.25,309.7850036621094,887.135009765625,506.8500061035156,677.4500122070312,112.47000122070312,188.8699951171875,421.0899963378906,209.92999267578125,41.29999923706055,21.485000610351562,27.239999771118164,49.755001068115234,88.37000274658203,55.56999969482422,474.2799987792969,367.20001220703125,90.20999908447266,352.0799865722656,309.67999267578125,239.91000366210938,80.0250015258789,150.5135040283203,635578,155013,98801,1653323,970073,31633,20807,554055,132077,90777,195581,108915,63724,29368,565553,15154,5314330,77924,94551,41509,51362,209294,121269,50095,536459,4261412,427854,444363,534792,235513,430994,282082,33934,1723793,26165,67774,104726,34525,239612,235248
2026-04-27 13:55:00+00:00,268.1300048828125,200.5800018310547,241.6699981689453,335.8699951171875,261.17999267578125,315.2699890136719,190.50999450683594,52.717498779296875,46.564998626708984,127.94989776611328,122.05000305175781,187.10000610351562,179.8000030517578,38.310001373291016,348.6549987792969,932.3800048828125,86.62999725341797,227.3800048828125,309.32000732421875,886.3175048828125,504.42999267578125,672.4149780273438,112.5,188.67999267578125,419.95001220703125,210.36000061035156,41.209999084472656,21.454999923706055,27.225000381469727,49.47999954223633,88.15499877929688,55.790000915527344,471.2900085449219,365.7049865722656,90.2300033569336,351.0899963378906,308.6650085449219,239.5399932861328,80.09500122070312,150.72999572753906,499868,52082,70832,1475082,650570,14042,14403,316785,68119,72365,87705,88573,68114,24665,715977,9344,6167172,67862,71235,32583,30435,183511,78610,37053,375638,2365962,335017,491426,454600,139165,369035,227445,18533,1025321,12418,72746,61520,19337,231849,160046
2026-04-27 14:00:00+00:00,267.2580871582031,200.31500244140625,242.5,334.8999938964844,261.4599914550781,315.7298889160156,190.1649932861328,52.619998931884766,46.32500076293945,128.10000610351562,121.9000015258789,186.5399932861328,180.41000366210938,38.16999816894531,349.4599914550781,933.3900146484375,86.87999725341797,227.46009826660156,309.92498779296875,886.4650268554688,505.072509765625,672.2100219726562,112.2300033569336,188.6699981689453,420.6698913574219,210.22999572753906,41.439998626708984,21.43000030517578,27.2549991607666,49.589900970458984,87.60250091552734,55.81999969482422,472.4100036621094,366.69000244140625,89.93000030517578,350.760009765625,309.1400146484375,239.77000427246094,80.05000305175781,149.9199981689453,465820,65006,107740,1054974,745658,21521,28156,496445,184893,151733,80542,115510,58925,22858,766831,12511,6118012,90473,73816,23776,27375,157551,151929,42478,337319,2326954,478174,686857,680322,177961,450087,263135,23966,1403104,6914,92436,111637,28959,189311,204309
2026-04-27 14:05:00+00:00,267.489990234375,200.4600067138672,241.77999877929688,335.4967956542969,261.6098937988281,315.2550048828125,190.2100067138672,52.70000076293945,46.400001525878906,128.30999755859375,121.96499633789062,186.92449951171875,180.47000122070312,38.27000045776367,350.32000732421875,933.010009765625,86.08000183105469,227.83999633789062,310.125,885.7899780273438,504.95001220703125,672.4600219726562,112.2699966430664,188.5500030517578,420.1199951171875,210.1750030517578,41.34000015258789,21.44499969482422,27.252599716186523,49.650001525878906,87.8499984741211,55.869998931884766,471.7900085449219,365.4599914550781,90.05000305175781,351.2099914550781,309.2799987792969,240.2100067138672,80.08499908447266,150.3800048828125,388711,63950,47615,1084788,566502,11307,14727,314178,178396,36100,67811,119925,76592,34006,672191,7825,3289464,59659,52052,25502,33521,168138,75497,31813,222516,1762870,408618,336354,486130,145774,276235,234300,11512,914342,6102,153827,50067,10748,129350,108228
