Datetime,AAPL,ABBV,ADBE,AMAT,AMD,AMGN,AMZN,APA,AVGO,AXP,BAC,BDX,BKNG,BKR,BLK,BSX,C,CB,CI,CME,CMG,COF,COP,COST,CRM,CSCO,CTRA,CVS,CVX,DG,DHR,DVN,EOG,EQT,F,FANG,GILD,GM,GOOGL,GS,HAL,HD,HLT,HUM,IBM,INTC,INTU,ISRG,JNJ,JPM,KMI,KO,LLY,LOW,MA,MAR,MCD,MDT,META,MPC,MRK,MS,MSFT,NKE,NOV,NOW,NVDA,ORCL,ORLY,OXY,PEP,PFE,PG,PGR,PNC,PSX,PYPL,QCOM,REGN,SBUX,SCHW,SLB,SPGI,SYK,TFC,TGT,TJX,TMO,TRGP,TSLA,TXN,UNH,USB,V,VLO,VRTX,WFC,WMB,WMT,XOM
2026-04-02 13:30:00+00:00,252.125,211.14999389648438,240.56500244140625,346.239990234375,209.10499572753906,349.5849914550781,208.94000244140625,41.7599983215332,308.1400146484375,297.30999755859375,48.70500183105469,155.6699981689453,163.9127960205078,60.375,951.8200073242188,62.40999984741211,113.62999725341797,328.885009765625,268.48419189453125,305.42498779296875,32.61000061035156,181.4199981689453,130.91000366210938,1006.6699829101562,183.65499877929688,78.0,34.41999816894531,72.86000061035156,200.9600067138672,117.76499938964844,190.4550018310547,49.22999954223633,142.9199981689453,60.54999923706055,11.381999969482422,196.60000610351562,140.07000732421875,71.875,294.07110595703125,850.7944946289062,38.709999084472656,320.57000732421875,302.1400146484375,177.10000610351562,244.22999572753906,49.279998779296875,426.0799865722656,455.75250244140625,246.47999572753906,291.3699951171875,33.095001220703125,76.67500305175781,944.8099975585938,230.5800018310547,495.4200134277344,328.4150085449219,304.114990234375,86.20999908447266,569.1500244140625,242.50999450683594,120.79499816894531,164.08999633789062,366.7049865722656,43.48202133178711,18.885000228881836,101.2300033569336,174.0449981689453,143.0050048828125,91.63999938964844,63.599998474121094,155.28500366210938,28.545000076293945,143.2100067138672,194.3300018310547,207.47000122070312,177.36000061035156,44.470001220703125,124.33999633789062,753.6699829101562,89.92500305175781,92.80000305175781,49.61000061035156,426.6300048828125,328.0,46.185001373291016,119.33000183105469,160.9149932861328,497.07501220703125,247.3699951171875,366.1199951171875,192.3800048828125,275.0400085449219,52.220001220703125,299.3299865722656,244.60000610351562,443.7950134277344,79.58999633789062,72.29499816894531,124.87999725341797,161.83999633789062
2026-04-02 14:30:00+00:00,255.1199951171875,210.74000549316406,241.60499572753906,350.5799865722656,214.47000122070312,350.5,210.42999267578125,41.810001373291016,313.0450134277344,299.55499267578125,49.20000076293945,156.5,167.25221252441406,60.59000015258789,965.52001953125,63.040000915527344,114.55000305175781,329.7200012207031,270.04998779296875,304.7900085449219,33.029998779296875,182.60000610351562,130.13499450683594,1007.826904296875,185.9149932861328,79.01499938964844,34.400001525878906,73.5,199.93499755859375,118.79499816894531,191.80499267578125,49.200801849365234,142.35000610351562,60.56999969482422,11.5600004196167,195.10000610351562,140.05999755859375,72.55999755859375,295.9599914550781,861.2575073242188,38.4900016784668,322.8999938964844,305.5899963378906,178.49000549316406,246.5449981689453,49.665000915527344,429.75,461.8900146484375,245.41000366210938,293.92999267578125,33.1150016784668,76.70999908447266,938.8699951171875,231.89500427246094,494.69000244140625,332.114990234375,304.55999755859375,86.51000213623047,572.4199829101562,240.93499755859375,119.88999938964844,165.55999755859375,370.80999755859375,43.679298400878906,18.920000076293945,101.78970336914062,176.67999267578125,145.44940185546875,91.91000366210938,63.13999938964844,155.55999755859375,28.559999465942383,142.97000122070312,194.72000122070312,210.02999877929688,176.59500122070312,45.095001220703125,126.06999969482422,750.1900024414062,91.02999877929688,93.5199966430664,49.650001525878906,428.9949951171875,331.19000244140625,46.81999969482422,120.20999908447266,161.11000061035156,500.9949951171875,247.77000427246094,366.0199890136719,194.5399932861328,277.06500244140625,52.845001220703125,300.4987487792969,243.15040588378906,442.1199951171875,80.31999969482422,72.37000274658203,125.13999938964844,160.67999267578125
2026-04-02 15:30:00+00:00,254.11000061035156,209.39999389648438,241.00999450683594,348.20001220703125,212.86000061035156,347.5249938964844,209.27000427246094,41.65999984741211,311.114990234375,299.572998046875,49.07500076293945,155.8000030517578,166.1396026611328,59.970001220703125,958.75,62.68000030517578,114.0199966430664,329.8500061035156,269.2200012207031,303.75,32.904998779296875,181.5500030517578,129.72999572753906,1007.6199951171875,185.63999938964844,78.55000305175781,34.25,73.36000061035156,199.17999267578125,118.81999969482422,190.21499633789062,49.03499984741211,141.72000122070312,60.17499923706055,11.53499984741211,194.22000122070312,139.3800048828125,72.30000305175781,295.1300048828125,858.219970703125,38.095001220703125,320.54998779296875,303.9549865722656,178.1300048828125,245.47000122070312,49.525001525878906,424.75,457.0799865722656,244.1999969482422,293.29998779296875,32.96500015258789,76.83999633789062,932.239990234375,229.5850067138672,494.1300964355469,329.32000732421875,305.04998779296875,86.04010009765625,570.3900146484375,238.83999633789062,119.5999984741211,164.74000549316406,369.7471008300781,43.66999816894531,18.5575008392334,101.91999816894531,176.125,145.3000030517578,91.23999786376953,63.089900970458984,156.10000610351562,28.375,143.27090454101562,194.86000061035156,209.67999267578125,175.1649932861328,44.970001220703125,125.76000213623047,757.2949829101562,90.20500183105469,93.42500305175781,48.935001373291016,428.9800109863281,328.7099914550781,46.80500030517578,120.3499984741211,160.23089599609375,496.18499755859375,245.91000366210938,364.385009765625,193.60000610351562,276.8500061035156,52.71500015258789,300.69500732421875,241.64999389648438,439.3299865722656,80.125,71.89911651611328,125.40499877929688,160.47999572753906
2026-04-02 16:30:00+00:00,255.3350067138672,207.91000366210938,242.10499572753906,347.79998779296875,215.17999267578125,346.1400146484375,209.61000061035156,41.70500183105469,312.864990234375,300.79998779296875,49.46500015258789,155.77000427246094,166.62960815429688,60.0,962.1375122070312,62.847801208496094,114.72000122070312,329.9100036621094,269.3699951171875,303.55999755859375,33.125,182.49000549316406,129.80999755859375,1007.875,186.5,78.82499694824219,34.29499816894531,73.54010009765625,198.86000061035156,119.19000244140625,190.84500122070312,49.095001220703125,141.80999755859375,59.97999954223633,11.595000267028809,193.66000366210938,139.14999389648438,72.55999755859375,296.04998779296875,862.3900146484375,38.0,320.67999267578125,305.0799865722656,177.0,246.3800048828125,49.70989990234375,427.0,456.126708984375,243.6300048828125,294.864990234375,33.03499984741211,76.71499633789062,933.5700073242188,229.8000030517578,494.70001220703125,330.80499267578125,306.1300048828125,86.23999786376953,572.385009765625,240.15499877929688,119.33499908447266,165.71499633789062,371.5799865722656,43.744998931884766,18.600000381469727,102.04499816894531,176.77499389648438,145.5500030517578,91.53500366210938,62.86980056762695,155.85499572753906,28.315000534057617,143.3000030517578,195.22500610351562,210.5399932861328,175.50999450683594,45.1150016784668,126.4000015258789,750.4199829101562,90.50499725341797,93.81999969482422,48.900001525878906,430.44500732421875,329.760009765625,47.07500076293945,120.44999694824219,160.83999633789062,494.114990234375,244.57000732421875,365.010009765625,193.8699951171875,276.7799987792969,52.915000915527344,301.7099914550781,242.82000732421875,438.19500732421875,80.66999816894531,72.0,125.51000213623047,160.38999938964844
2026-04-02 17:30:00+00:00,255.14500427246094,209.1649932861328,241.4600067138672,347.3599853515625,215.29010009765625,346.739990234375,209.02000427246094,41.849998474121094,313.0799865722656,299.32379150390625,49.39500045776367,155.26499938964844,165.88999938964844,60.31999969482422,957.219970703125,62.939998626708984,114.73999786376953,329.8349914550781,269.6700134277344,304.5400085449219,33.095001220703125,181.3000030517578,130.33999633789062,1008.4149780273438,185.82000732421875,78.63999938964844,34.34000015258789,73.33999633789062,198.6300048828125,119.11000061035156,190.5800018310547,49.16999816894531,142.16000366210938,59.834999084472656,11.550000190734863,194.125,139.0500030517578,72.29000091552734,295.0199890136719,860.5800170898438,38.10499954223633,320.6659851074219,303.2799987792969,176.68499755859375,246.3300018310547,49.79209899902344,424.2799987792969,451.3399963378906,243.3800048828125,294.260009765625,33.05500030517578,76.69000244140625,935.7000122070312,230.17999267578125,493.6199951171875,330.0,306.67498779296875,86.0999984741211,572.4421997070312,240.7050018310547,119.8550033569336,165.30999755859375,371.0494079589844,43.70500183105469,18.674999237060547,101.48999786376953,176.5399932861328,145.18499755859375,91.31999969482422,62.709999084472656,155.55999755859375,28.38279914855957,143.19000244140625,194.93499755859375,210.8800048828125,175.9199981689453,45.084999084472656,126.16120147705078,752.9199829101562,90.30000305175781,93.36000061035156,49.064998626708984,428.6099853515625,329.3999938964844,47.064998626708984,120.08499908447266,161.02999877929688,492.7300109863281,244.58999633789062,359.4493103027344,193.50999450683594,276.05499267578125,52.89250183105469,301.32501220703125,243.22000122070312,438.3800048828125,80.44000244140625,72.0250015258789,125.2927017211914,160.63999938964844
2026-04-02 18:30:00+00:00,255.1199951171875,208.30999755859375,242.13499450683594,348.8800048828125,217.0399932861328,347.79998779296875,209.11000061035156,41.970001220703125,313.17999267578125,300.0899963378906,49.27000045776367,154.6699981689453,166.17919921875,60.43769836425781,961.614990234375,62.5099983215332,114.9000015258789,328.75,269.54998779296875,303.885009765625,33.21500015258789,181.49000549316406,130.17999267578125,1009.780029296875,186.02499389648438,78.58999633789062,34.45000076293945,73.28379821777344,198.61000061035156,119.3949966430664,190.80999755859375,49.32500076293945,142.1199951171875,59.720001220703125,11.569999694824219,193.64999389648438,139.25999450683594,72.72000122070312,294.93499755859375,863.2650146484375,38.19499969482422,322.25,304.7699890136719,176.89500427246094,246.92999267578125,50.14500045776367,422.3080139160156,452.0899963378906,242.77000427246094,294.239990234375,32.900001525878906,76.65499877929688,934.6199951171875,231.38999938964844,493.06500244140625,331.44500732421875,307.010009765625,86.3949966430664,573.8900146484375,240.625,120.16999816894531,165.5800018310547,372.57989501953125,44.189998626708984,18.700000762939453,101.7249984741211,176.90499877929688,145.91000366210938,91.41999816894531,62.760101318359375,156.1199951171875,28.325000762939453,143.32000732421875,194.47000122070312,210.83999633789062,176.10000610351562,45.29999923706055,126.75,754.1900024414062,90.66999816894531,93.47000122070312,49.334999084472656,429.54998779296875,330.7349853515625,47.029998779296875,120.58999633789062,161.06500244140625,492.875,243.625,359.5600891113281,194.7100067138672,275.7699890136719,52.93000030517578,300.8450012207031,243.22000122070312,438.010009765625,80.51000213623047,71.91000366210938,125.44000244140625,160.85499572753906
2026-04-02 19:30:00+00:00,255.88999938964844,208.82000732421875,242.9199981689453,348.4700012207031,217.55999755859375,348.0050048828125,209.77000427246094,42.029998779296875,314.55999755859375,300.1400146484375,49.3650016784668,154.52000427246094,167.716796875,60.380001068115234,966.5599975585938,62.79999923706055,115.23999786376953,328.3599853515625,270.1099853515625,305.0899963378906,33.165000915527344,181.8699951171875,130.4949951171875,1014.7999877929688,187.16000366210938,79.0199966430664,34.56999969482422,73.49500274658203,198.9199981689453,119.75,191.0800018310547,49.474998474121094,142.63999938964844,59.70000076293945,11.59000015258789,193.8800048828125,139.7100067138672,72.55999755859375,295.7900085449219,863.3900146484375,38.16999816894531,321.6400146484375,305.0369873046875,177.85000610351562,248.1300048828125,50.36000061035156,422.32000732421875,452.05999755859375,243.0,294.7300109863281,32.970001220703125,76.71499633789062,935.5800170898438,231.0800018310547,493.4200134277344,331.8699951171875,307.0799865722656,86.62000274658203,574.5499877929688,241.75999450683594,121.00499725341797,165.8000030517578,373.5,44.185001373291016,18.780000686645508,101.97000122070312,177.39999389648438,146.38999938964844,91.41000366210938,62.959999084472656,157.0,28.334999084472656,143.1300048828125,195.3000030517578,211.69000244140625,176.1999969482422,45.349998474121094,126.81999969482422,761.8400268554688,90.38999938964844,93.76000213623047,49.43000030517578,431.2099914550781,331.5400085449219,47.15999984741211,120.4800033569336,161.3000030517578,491.239990234375,244.49000549316406,360.54998779296875,194.89999389648438,277.25,52.939998626708984,300.8699951171875,244.02999877929688,438.8299865722656,80.61000061035156,72.0,125.79000091552734,160.6699981689453
2026-04-06 13:30:00+00:00,261.760009765625,208.1300048828125,246.14999389648438,348.6549987792969,220.38999938964844,347.2950134277344,212.30999755859375,42.15999984741211,311.5799865722656,303.510009765625,49.994998931884766,155.43499755859375,171.72999572753906,60.77000045776367,964.010009765625,63.0099983215332,116.91999816894531,326.8550109863281,273.6000061035156,307.9599914550781,33.334999084472656,182.9499969482422,129.61399841308594,1014.4400024414062,186.0,79.67990112304688,34.45000076293945,73.2699966430664,196.58009338378906,123.08999633789062,191.8300018310547,49.25,142.18499755859375,60.29499816894531,11.585000038146973,193.1999969482422,140.36000061035156,73.06999969482422,298.3800048828125,870.5399780273438,37.94499969482422,322.989990234375,305.739990234375,184.32000732421875,246.10000610351562,50.76499938964844,417.260009765625,456.7349853515625,243.0399932861328,296.42999267578125,32.92499923706055,77.02999877929688,931.9949951171875,232.48500061035156,500.2099914550781,333.7200012207031,309.3999938964844,86.91500091552734,577.2698974609375,238.28500366210938,121.04000091552734,167.2100067138672,372.6499938964844,43.939998626708984,18.729999542236328,102.88999938964844,176.77999877929688,144.63999938964844,91.45500183105469,62.439998626708984,156.35000610351562,28.19499969482422,143.52499389648438,196.10499572753906,211.67999267578125,174.07000732421875,46.28499984741211,127.12999725341797,764.989990234375,93.55000305175781,94.48999786376953,49.44499969482422,434.0350036621094,333.79998779296875,47.40999984741211,121.97000122070312,161.27499389648438,488.4150085449219,244.36749267578125,358.989990234375,198.13499450683594,282.82598876953125,53.32500076293945,303.57000732421875,241.1999969482422,438.739990234375,81.66999816894531,72.4000015258789,126.52999877929688,160.4949951171875
2026-04-06 14:30:00+00:00,259.25,206.97999572753906,243.63999938964844,349.239990234375,220.21499633789062,343.8999938964844,212.3800048828125,42.33000183105469,312.3999938964844,302.9849853515625,49.845001220703125,155.27499389648438,170.08999633789062,60.63999938964844,961.0599975585938,62.40999984741211,116.52999877929688,327.0950012207031,274.30999755859375,308.79998779296875,33.17499923706055,182.9600067138672,130.35000610351562,1016.4099731445312,184.9199981689453,79.55999755859375,34.4900016784668,73.62999725341797,197.41000366210938,123.31500244140625,191.35000610351562,49.310001373291016,142.52999877929688,60.279998779296875,11.600000381469727,193.27000427246094,139.52499389648438,73.1449966430664,297.4849853515625,864.760009765625,37.875,325.239990234375,305.0799865722656,183.57000732421875,244.9600067138672,50.384498596191406,415.1099853515625,453.5199890136719,242.11500549316406,295.7200012207031,32.89500045776367,77.04000091552734,925.7000122070312,233.9199981689453,499.79998779296875,335.0150146484375,309.0400085449219,86.31999969482422,576.8300170898438,239.6300048828125,120.5199966430664,166.47500610351562,371.3699951171875,43.80500030517578,18.7549991607666,101.93000030517578,176.48609924316406,144.28500366210938,91.4800033569336,62.68000030517578,155.88499450683594,28.099300384521484,143.00999450683594,195.89999389648438,211.63499450683594,174.80999755859375,45.915000915527344,126.52999877929688,762.2100219726562,93.36000061035156,94.33499908447266,49.51499938964844,432.6600036621094,332.23779296875,47.36000061035156,121.70999908447266,161.47000122070312,485.95001220703125,244.94000244140625,353.3800048828125,197.57000732421875,281.75,53.279998779296875,303.2749938964844,242.1699981689453,438.9100036621094,81.31999969482422,72.36499786376953,126.73999786376953,161.0500030517578
2026-04-06 15:30:00+00:00,259.0400085449219,206.6199951171875,243.85499572753906,349.69000244140625,220.47000122070312,343.3999938964844,212.77000427246094,42.511199951171875,312.4200134277344,303.92498779296875,49.904998779296875,154.92999267578125,172.14999389648438,60.55110168457031,964.4400024414062,62.47999954223633,116.72000122070312,326.5199890136719,274.54998779296875,309.70001220703125,33.185001373291016,183.16000366210938,130.60000610351562,1014.719970703125,185.3800048828125,79.62000274658203,34.54999923706055,73.62000274658203,197.8699951171875,123.56999969482422,191.48500061035156,49.40999984741211,142.7100067138672,60.25,11.609999656677246,193.48500061035156,139.9199981689453,73.55000305175781,298.8349914550781,865.5100708007812,37.775001525878906,325.2200012207031,306.0,182.8699951171875,245.7550048828125,50.250099182128906,414.760009765625,452.29998779296875,242.07000732421875,296.3900146484375,32.904998779296875,77.125,926.35498046875,234.50999450683594,500.57000732421875,336.4599914550781,309.2149963378906,86.5250015258789,579.1199951171875,240.9199981689453,120.69000244140625,166.8551025390625,372.0050048828125,44.064998626708984,18.7450008392334,102.66000366210938,177.15499877929688,144.72999572753906,91.66999816894531,62.79990005493164,156.0749969482422,28.15839958190918,142.33999633789062,196.0399932861328,212.17999267578125,175.69000244140625,45.850101470947266,126.43499755859375,763.760009765625,93.51000213623047,94.61000061035156,49.625,433.20001220703125,331.67498779296875,47.474998474121094,121.29000091552734,161.80999755859375,484.9150085449219,245.17750549316406,352.0802917480469,197.69000244140625,281.75,53.375,304.1499938964844,243.5500030517578,438.7699890136719,81.61499786376953,72.33000183105469,126.30000305175781,161.94000244140625
