Datetime,AAPL,ABBV,ADBE,AMD,AMZN,AXP,AZN,BAC,BP,C,COP,CVX,DHR,EQNR,GOOGL,GS,INTC,JNJ,JPM,LLY,MA,META,MRK,MS,MSFT,NVDA,NVO,PBR,PFE,PYPL,SHEL,SLB,TMO,TSLA,TTE,UNH,V,VLO,WFC,XOM
2026-04-14 13:30:00+00:00,259.9150085449219,205.08639526367188,241.3300018310547,251.5500030517578,243.57000732421875,324.0350036621094,202.42999267578125,53.08000183105469,46.52000045776367,128.17999267578125,121.59500122070312,188.5449981689453,195.4949951171875,38.540000915527344,324.42999267578125,896.10498046875,63.86000061035156,235.52999877929688,309.8399963378906,925.9099731445312,507.4599914550781,641.2000122070312,,182.1649932861328,387.989990234375,192.30999755859375,39.15999984741211,21.530000686645508,27.170000076293945,47.814998626708984,92.0199966430664,51.4900016784668,514.8699951171875,357.9599914550781,92.68000030517578,313.3699951171875,308.4200134277344,241.69000244140625,82.9000015258789,149.64999389648438
2026-04-14 13:31:00+00:00,260.2799987792969,204.39999389648438,240.75399780273438,249.91000366210938,243.60000610351562,324.69000244140625,202.27000427246094,53.07500076293945,46.36000061035156,129.30999755859375,121.01000213623047,187.77999877929688,195.4949951171875,38.349998474121094,324.4700012207031,896.469970703125,64.20999908447266,235.90499877929688,311.1650085449219,926.0850219726562,508.79998779296875,640.989990234375,119.02999877929688,182.39500427246094,389.7200012207031,192.6699981689453,38.97999954223633,21.40999984741211,27.190000534057617,47.880001068115234,91.83999633789062,51.439998626708984,514.864990234375,360.96990966796875,92.51000213623047,314.0199890136719,308.6050109863281,240.0,82.9800033569336,149.22000122070312
2026-04-14 13:32:00+00:00,259.8299865722656,204.32000732421875,241.6199951171875,248.2550048828125,244.4550018310547,324.9700012207031,202.24000549316406,53.05500030517578,46.474998474121094,129.71499633789062,121.18000030517578,187.63999938964844,196.32000732421875,38.529998779296875,324.94000244140625,893.4199829101562,63.755001068115234,235.7050018310547,310.69000244140625,926.4249877929688,509.9630126953125,640.469970703125,119.01000213623047,182.19500732421875,390.2749938964844,193.15989685058594,39.04999923706055,21.469999313354492,27.135000228881836,47.980098724365234,91.98999786376953,51.540000915527344,516.0399780273438,359.32501220703125,92.48999786376953,313.8999938964844,309.1400146484375,240.83999633789062,83.0199966430664,148.7550048828125
2026-04-14 13:33:00+00:00,260.20001220703125,205.52000427246094,242.5399932861328,247.27000427246094,244.5,325.6499938964844,202.69000244140625,53.029998779296875,46.380001068115234,129.0,120.83000183105469,187.02499389648438,196.7899932861328,38.40999984741211,325.17999267578125,892.989990234375,63.79990005493164,236.63999938964844,311.1300048828125,930.4713745117188,510.5375061035156,641.4199829101562,119.12999725341797,182.36000061035156,391.5801086425781,192.40499877929688,39.09000015258789,21.399999618530273,27.209999084472656,47.9900016784668,91.86609649658203,51.22999954223633,517.6500244140625,359.6400146484375,92.37000274658203,314.17999267578125,309.9700012207031,239.22000122070312,82.11000061035156,148.77499389648438
2026-04-14 13:34:00+00:00,260.0299987792969,205.65829467773438,242.0050048828125,247.2899932861328,245.0,325.6850891113281,202.69000244140625,52.935001373291016,46.2400016784668,128.52000427246094,120.31999969482422,186.27000427246094,197.27000427246094,38.275001525878906,324.9750061035156,893.5,63.25,236.61000061035156,311.6099853515625,929.4299926757812,511.92498779296875,641.4600219726562,118.86820220947266,182.47000122070312,391.8800048828125,192.2050018310547,39.095001220703125,21.30500030517578,27.16990089416504,48.02000045776367,91.58999633789062,51.010101318359375,517.2899780273438,359.7850036621094,92.16000366210938,314.6199951171875,311.2950134277344,238.38999938964844,81.25,148.0800018310547
2026-04-14 13:35:00+00:00,260.7149963378906,206.16000366210938,243.0399932861328,247.3350067138672,245.625,326.1099853515625,203.0500030517578,52.92499923706055,46.209999084472656,128.27000427246094,120.41999816894531,186.0,197.4499969482422,38.220001220703125,325.44000244140625,894.4199829101562,63.76499938964844,237.8300018310547,310.4700012207031,934.3049926757812,512.2899780273438,644.125,118.95999908447266,182.5399932861328,392.6990051269531,191.9698944091797,39.20000076293945,21.325000762939453,27.190000534057617,48.16550064086914,91.5199966430664,51.20000076293945,518.1699829101562,357.6300048828125,91.9800033569336,314.989990234375,311.42999267578125,237.89999389648438,81.55000305175781,147.8206024169922
2026-04-14 13:36:00+00:00,260.8599853515625,206.33999633789062,243.40499877929688,247.02000427246094,245.75999450683594,325.7950134277344,203.30999755859375,52.849998474121094,46.07500076293945,128.0500030517578,120.08499908447266,185.31390380859375,197.50999450683594,38.06999969482422,325.4700012207031,893.510009765625,63.5099983215332,238.74749755859375,309.79998779296875,934.3250122070312,511.8949890136719,644.75,119.05000305175781,181.8686065673828,392.8299865722656,191.57000732421875,39.154998779296875,21.270200729370117,27.224000930786133,48.185001373291016,91.2979965209961,51.119998931884766,519.5250244140625,358.375,91.77989959716797,316.268310546875,311.7799987792969,237.0500030517578,80.88999938964844,147.1999969482422
2026-04-14 13:37:00+00:00,260.989990234375,206.1750030517578,242.77000427246094,247.42999267578125,246.10000610351562,326.2900085449219,203.13999938964844,52.96500015258789,46.19499969482422,128.36000061035156,120.0739974975586,185.47999572753906,197.94500732421875,38.20000076293945,325.1394958496094,896.9400024414062,63.3849983215332,237.69000244140625,310.7900085449219,934.7899169921875,511.1400146484375,644.9000244140625,118.44999694824219,182.38999938964844,393.489990234375,191.60000610351562,39.1150016784668,21.364999771118164,27.15399932861328,48.09000015258789,91.4800033569336,51.2599983215332,520.7550048828125,357.6499938964844,91.94000244140625,315.989990234375,310.6099853515625,237.27000427246094,81.37000274658203,147.39999389648438
2026-04-14 13:38:00+00:00,260.9096984863281,206.1649932861328,243.71499633789062,247.42999267578125,246.6790008544922,326.2950134277344,203.3249969482422,53.03499984741211,46.130001068115234,128.61000061035156,119.76000213623047,184.86000061035156,198.22000122070312,38.150001525878906,324.6579895019531,897.7039794921875,63.17100143432617,237.2949981689453,311.7449951171875,934.2150268554688,511.32000732421875,646.4739990234375,118.61000061035156,182.67750549316406,394.1960144042969,191.39999389648438,39.13999938964844,21.290000915527344,27.18000030517578,48.16999816894531,91.30999755859375,51.150001525878906,520.219970703125,357.67999267578125,91.79000091552734,316.7099914550781,310.92999267578125,236.8000030517578,81.94999694824219,146.8000030517578
2026-04-14 13:39:00+00:00,260.8951110839844,206.3350067138672,243.2899932861328,246.125,246.3000946044922,327.1400146484375,203.28500366210938,53.095001220703125,46.220001220703125,128.80999755859375,120.19000244140625,185.6439971923828,198.52999877929688,38.22999954223633,324.5,897.719970703125,62.959999084472656,237.94000244140625,312.07000732421875,934.989990234375,512.719970703125,646.3200073242188,118.48999786376953,182.94000244140625,393.2200012207031,190.86000061035156,39.09000015258789,21.334999084472656,27.225000381469727,48.2400016784668,91.45999908447266,51.20000076293945,521.60498046875,356.8399963378906,91.90769958496094,317.6600036621094,311.80999755859375,237.8300018310547,82.0,147.3800048828125
