Node,out_degree_Lead,in_degree_Lag,betweenness,closeness,clustering,pagerank
ADBE,24,33,0.014893341894925171,0.8666666666666667,0.8108108108108109,0.03733106586403311
ABBV,27,31,0.015588286449691418,0.8297872340425532,0.8158730158730159,0.03476709994755461
AMZN,30,32,0.021168841951938123,0.8478260869565217,0.8063063063063063,0.03475002932867042
C,26,33,0.018080627822394415,0.8666666666666667,0.8008534850640113,0.03335774003940361
AMD,24,30,0.013667274369806246,0.8125,0.8128342245989305,0.03309645213519611
MSFT,28,32,0.017207511288672598,0.8478260869565217,0.8269841269841269,0.03296060813089003
MRK,29,27,0.015956843233006293,0.7647058823529411,0.8,0.031110713245838684
SLB,27,26,0.014467766978253565,0.75,0.8184873949579832,0.030682544819262275
XOM,27,28,0.01591122857488991,0.78,0.8063063063063063,0.030436541438951966
NVDA,28,27,0.013770557580351018,0.7647058823529411,0.8235294117647058,0.03034982049891263
JNJ,17,23,0.006244878648269751,0.7090909090909091,0.8275862068965517,0.029441327159717506
SHEL,22,22,0.011328582037010489,0.6964285714285714,0.8137931034482758,0.029200765659096184
V,28,26,0.0177741193844073,0.75,0.7932773109243697,0.02816778175634509
AAPL,24,27,0.01321786548126943,0.7647058823529411,0.8365591397849462,0.02795688678861618
VLO,27,24,0.010915726712046584,0.7222222222222222,0.821969696969697,0.02672769509961511
INTC,31,26,0.015001918616197893,0.75,0.8270944741532977,0.026395890753867862
GS,20,20,0.00746702456877267,0.6724137931034483,0.8349753694581281,0.026158153283227563
PYPL,25,21,0.010526634637168472,0.6842105263157895,0.7923387096774194,0.025599753365737107
DHR,27,23,0.010535899853160611,0.7090909090909091,0.8326612903225806,0.025096205522036657
CVX,31,26,0.016555489648571085,0.75,0.7980085348506402,0.025092973447978603
AXP,15,23,0.005421295216964803,0.7090909090909091,0.8386243386243386,0.024127987383394476
EQNR,18,25,0.007996321580726959,0.7358490566037735,0.8129032258064516,0.023706091899572908
BP,18,20,0.006502534484447471,0.6724137931034483,0.8448275862068966,0.02277792304817054
COP,22,24,0.008347908803159807,0.7222222222222222,0.8516129032258064,0.02250524669474955
NVO,23,24,0.011232977730670739,0.7222222222222222,0.8251231527093597,0.022163673107408247
META,20,21,0.007330432324890659,0.6842105263157895,0.8298850574712644,0.022059039134089575
MS,26,19,0.011846486203005924,0.6610169491525424,0.8125,0.021789099142557795
AZN,18,19,0.004230406835370805,0.6610169491525424,0.8575498575498576,0.021715845449461334
JPM,20,21,0.007936461849234884,0.6842105263157895,0.8183908045977012,0.021226623987784302
TSLA,23,20,0.008341172388798964,0.6724137931034483,0.832183908045977,0.0207891385814221
TTE,20,20,0.007954777754938577,0.6724137931034483,0.8064516129032258,0.02073242076228227
MA,16,18,0.0048313677262871325,0.65,0.8586956521739131,0.020244187174209387
PFE,30,23,0.011962589071204477,0.7090909090909091,0.8302521008403362,0.01964293628121877
WFC,25,23,0.009243676053698243,0.7090909090909091,0.8448275862068966,0.019560102310504195
TMO,21,14,0.00559110053235071,0.609375,0.8376068376068376,0.017933966699177364
LLY,23,14,0.005201294349164769,0.609375,0.8518518518518519,0.017715077670489816
UNH,18,18,0.00551382091057891,0.65,0.8319088319088319,0.01757753988783981
GOOGL,22,19,0.0090998174087656,0.6610169491525424,0.7977011494252874,0.01623324558819463
BAC,10,14,0.002381620960527592,0.609375,0.8421052631578947,0.014863737721412456
PBR,20,14,0.003854732659308692,0.609375,0.8461538461538461,0.013956069191109172
