Node,out_degree_Lead,in_degree_Lag,betweenness,closeness,clustering,pagerank
BAC,25,31,0.021208810004231218,0.8297872340425532,0.7781512605042017,0.03857996078523522
MS,20,27,0.01233401971390966,0.7647058823529411,0.8021390374331551,0.03241021213016407
EQNR,25,25,0.012396313852565967,0.7358490566037735,0.8003565062388592,0.03236663974505664
META,27,30,0.020219934020995676,0.8125,0.7766714082503556,0.032016847190059546
XOM,21,27,0.013453883586418277,0.7647058823529411,0.7992424242424242,0.03196085439010156
AZN,29,29,0.018016037380610393,0.7959183673469388,0.8314393939393939,0.03157213043317389
PBR,19,23,0.010092174728256626,0.7090909090909091,0.8172043010752689,0.03113289479236639
TSLA,26,28,0.020100519367967133,0.78,0.7632575757575758,0.0310329318413705
PFE,22,28,0.013060130034174607,0.78,0.8125,0.030040927190075985
PYPL,20,25,0.010986270374783932,0.7358490566037735,0.8043010752688172,0.029937306566753297
AAPL,22,25,0.01392511330529154,0.7358490566037735,0.7870967741935484,0.029752907023425996
WFC,21,26,0.00929063525272209,0.75,0.8279569892473119,0.028950715151534738
CVX,15,25,0.007307407017237677,0.7358490566037735,0.8004926108374384,0.028843676559948427
TMO,22,26,0.014701738570595192,0.75,0.7983193277310925,0.028312815391573133
C,21,26,0.010556602308867886,0.75,0.8275862068965517,0.027878866417716152
BP,16,23,0.009803351659025315,0.7090909090909091,0.7857142857142857,0.02738960746759673
ABBV,21,22,0.012099760449931541,0.6964285714285714,0.7885057471264367,0.025971156343228868
INTC,24,21,0.011185146825838217,0.6842105263157895,0.8301075268817204,0.025053158275717993
AXP,23,21,0.009766770531003242,0.6842105263157895,0.7963709677419355,0.02460777986240499
JNJ,29,25,0.017963593998614864,0.7358490566037735,0.7983193277310925,0.02454173240398644
COP,30,24,0.018362277753846544,0.7222222222222222,0.7746031746031746,0.024377560157909033
SHEL,26,23,0.014240184048236714,0.7090909090909091,0.7843137254901961,0.023949012692431455
MSFT,19,20,0.008863876529266785,0.6724137931034483,0.8166666666666667,0.02383042025904479
GOOGL,25,18,0.010026267713796699,0.65,0.7903225806451613,0.023828495590537586
UNH,29,23,0.015198731839442033,0.7090909090909091,0.8057040998217468,0.023648823325719763
DHR,17,22,0.007709854990927552,0.6964285714285714,0.8176638176638177,0.023394733439565777
SLB,21,23,0.01426202046893377,0.7090909090909091,0.7885057471264367,0.023141405576089322
V,20,21,0.009247994398202468,0.6842105263157895,0.8246153846153846,0.022600677071122833
MRK,29,19,0.012612032115265967,0.6610169491525424,0.8193548387096774,0.021107750252376434
JPM,9,15,0.0021930824942350243,0.6190476190476191,0.8011695906432749,0.020133032456261156
AMZN,23,21,0.011145914831786154,0.6842105263157895,0.7857142857142857,0.0198569413902661
NVO,20,21,0.010329927641458585,0.6842105263157895,0.7906403940886699,0.019812895022785455
NVDA,15,16,0.007705027046333249,0.6290322580645161,0.7430830039525692,0.019212677814594816
TTE,22,14,0.00789509985230144,0.609375,0.7931034482758621,0.0191810507607563
ADBE,28,15,0.009795309640275862,0.6190476190476191,0.8004032258064516,0.01867348327649165
AMD,15,16,0.005269308369435593,0.6290322580645161,0.8333333333333334,0.01857637635205483
VLO,22,16,0.008002080111902626,0.6290322580645161,0.789247311827957,0.01815290737633292
MA,21,13,0.007888720202742339,0.6,0.8015873015873016,0.016618364226091392
LLY,17,15,0.006408303132617193,0.6190476190476191,0.8079710144927537,0.015215552211300706
GS,22,10,0.0045647077090967235,0.5735294117647058,0.8066666666666666,0.012334720786777002
